instance,bypass,cardial_conflicts,heuristic,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='../generated_instances/instance-k3.0.json' mode='r' encoding='cp1252'>,False,True,True,19,6.421387672424316,6.198632900137454,0.22362269973382354,11,20,0,0,5,3
<_io.TextIOWrapper name='../generated_instances/instance-k3.1.json' mode='r' encoding='cp1252'>,False,True,True,19,11.82422924041748,11.806213699979708,0.33071460016071796,11,18,0,1,5,5
<_io.TextIOWrapper name='../generated_instances/instance-k3.2.json' mode='r' encoding='cp1252'>,False,True,True,19,6.287644624710083,6.268262199824676,0.21310399984940886,7,10,0,1,4,3
<_io.TextIOWrapper name='../generated_instances/instance-k3.3.json' mode='r' encoding='cp1252'>,False,True,True,19,10.267649412155151,10.24785970011726,0.3752643996849656,11,18,0,1,5,5
<_io.TextIOWrapper name='../generated_instances/instance-k3.4.json' mode='r' encoding='cp1252'>,False,True,True,19,5.959948301315308,5.938123499974608,0.11161979986354709,6,8,0,1,4,1
<_io.TextIOWrapper name='../generated_instances/instance-k3.5.json' mode='r' encoding='cp1252'>,False,True,True,21,603.4944226741791,603.476200700039,63.74585329857655,1142,2282,0,0,5,398
<_io.TextIOWrapper name='../generated_instances/instance-k3.6.json' mode='r' encoding='cp1252'>,False,True,True,19,4.881892204284668,4.85382269998081,0.11954169953241944,6,8,0,1,4,1
<_io.TextIOWrapper name='../generated_instances/instance-k3.7.json' mode='r' encoding='cp1252'>,False,True,True,19,8.501413583755493,8.477749000070617,0.23441840056329966,8,10,0,2,5,1
<_io.TextIOWrapper name='../generated_instances/instance-k3.8.json' mode='r' encoding='cp1252'>,False,True,True,21,603.013578414917,602.987428399967,52.35348159284331,1106,2210,0,0,5,376
<_io.TextIOWrapper name='../generated_instances/instance-k3.9.json' mode='r' encoding='cp1252'>,False,True,True,19,11.1229088306427,11.091842999914661,0.2284437003545463,9,14,0,1,4,6
<_io.TextIOWrapper name='../generated_instances/instance-k3.10.json' mode='r' encoding='cp1252'>,False,True,True,21,602.9342827796936,602.9008281999268,75.01356910611503,1178,2354,0,0,5,409
<_io.TextIOWrapper name='../generated_instances/instance-k3.11.json' mode='r' encoding='cp1252'>,False,True,True,19,10.947452783584595,10.914821799844503,0.2819582000374794,7,10,0,1,4,3
<_io.TextIOWrapper name='../generated_instances/instance-k3.12.json' mode='r' encoding='cp1252'>,False,True,True,21,602.7363023757935,602.7096917999443,43.91284860414453,1646,3290,0,0,5,580
<_io.TextIOWrapper name='../generated_instances/instance-k3.13.json' mode='r' encoding='cp1252'>,False,True,True,19,7.981260538101196,7.96024449984543,0.2410881998948753,9,14,0,1,4,6
<_io.TextIOWrapper name='../generated_instances/instance-k3.14.json' mode='r' encoding='cp1252'>,False,True,True,19,7.141978025436401,7.1133683999069035,0.17920850031077862,7,10,0,1,4,3
<_io.TextIOWrapper name='../generated_instances/instance-k3.15.json' mode='r' encoding='cp1252'>,False,True,True,19,12.796799421310425,12.77605769992806,0.5946232995484024,11,20,0,0,5,3
<_io.TextIOWrapper name='../generated_instances/instance-k3.16.json' mode='r' encoding='cp1252'>,False,True,True,19,11.610248327255249,11.588270099833608,0.5013229001779109,11,20,0,0,5,3
