instance,bypass,cardial_conflicts,heuristic,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='../generated_instances/instance-k4.0.json' mode='r' encoding='cp1252'>,False,True,False,28,24.944456577301025,24.914813400013372,0.699400600977242,22,42,0,0,12,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.1.json' mode='r' encoding='cp1252'>,False,True,False,28,30.047446250915527,30.01894470001571,0.927207299740985,23,44,0,0,11,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.2.json' mode='r' encoding='cp1252'>,False,True,False,28,45.83925938606262,45.81414039991796,1.9744213989470154,26,50,0,0,12,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.3.json' mode='r' encoding='cp1252'>,False,True,False,28,52.744513511657715,52.71512910001911,2.040268200216815,28,54,0,0,13,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.4.json' mode='r' encoding='cp1252'>,False,True,False,28,51.29638051986694,51.266441999934614,1.6302573001012206,25,48,0,0,12,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.5.json' mode='r' encoding='cp1252'>,False,True,False,28,35.74277114868164,35.7108440999873,0.8784870016388595,26,50,0,0,12,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.6.json' mode='r' encoding='cp1252'>,False,True,False,28,33.36749243736267,33.34307689988054,0.8594571996945888,26,50,0,0,13,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.7.json' mode='r' encoding='cp1252'>,False,True,False,28,28.077765703201294,28.05431649996899,0.8763079014606774,26,50,0,0,12,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.8.json' mode='r' encoding='cp1252'>,False,True,False,28,35.592036962509155,35.5689797999803,1.731580599443987,34,66,0,0,13,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.9.json' mode='r' encoding='cp1252'>,False,True,False,28,36.1066632270813,36.07959079998545,1.086311701219529,35,68,0,0,13,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.10.json' mode='r' encoding='cp1252'>,False,True,False,28,26.485987901687622,26.45890529989265,0.6879386000800878,21,40,0,0,12,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.11.json' mode='r' encoding='cp1252'>,False,True,False,28,31.177746534347534,31.154459399869666,0.8187512999866158,25,48,0,0,13,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.12.json' mode='r' encoding='cp1252'>,False,True,False,28,46.813313245773315,46.78913090005517,1.6890989993698895,35,68,0,0,15,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.13.json' mode='r' encoding='cp1252'>,False,True,False,28,42.61318850517273,42.58581449999474,1.0868486010003835,25,48,0,0,13,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.14.json' mode='r' encoding='cp1252'>,False,True,False,28,43.650678396224976,43.620399199891835,1.198672000085935,25,48,0,0,12,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.15.json' mode='r' encoding='cp1252'>,False,True,False,28,61.66036343574524,61.63105920003727,2.0602858995553106,35,68,0,0,13,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.16.json' mode='r' encoding='cp1252'>,False,True,False,28,41.98162794113159,41.951663200045004,1.2689653988927603,28,54,0,0,14,0
