instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost,bypass,cardial_conflicts,heuristic
<_io.TextIOWrapper name='../generated_instances/instance-k7.0.json' mode='r' encoding='cp1252'>,infeasible,609.9278540611267,609.7256616000086,23.304217901080847,198,394,0,0,14,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.1.json' mode='r' encoding='cp1252'>,59,604.8207364082336,604.8012439999729,16.76038250164129,209,416,0,0,11,96,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.2.json' mode='r' encoding='cp1252'>,61,608.1364336013794,607.9835658001248,26.66663110209629,241,480,0,0,43,0,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.3.json' mode='r' encoding='cp1252'>,59,609.3389387130737,609.2386064999737,9.106100599747151,173,344,0,0,21,11,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.4.json' mode='r' encoding='cp1252'>,59,607.3949897289276,607.3226964999922,15.719851496396586,187,372,0,0,24,6,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.5.json' mode='r' encoding='cp1252'>,infeasible,611.3779332637787,611.2920244000852,14.862192801432684,136,270,0,0,21,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.6.json' mode='r' encoding='cp1252'>,65,607.9870839118958,607.9696806999855,18.889802898280323,193,384,0,0,13,0,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.7.json' mode='r' encoding='cp1252'>,infeasible,611.1279392242432,611.0620819998439,20.84390779910609,171,340,0,0,23,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.8.json' mode='r' encoding='cp1252'>,infeasible,607.5323340892792,607.5154870001134,14.289017498958856,191,380,0,0,33,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.9.json' mode='r' encoding='cp1252'>,infeasible,605.4971926212311,605.4814400000032,12.968057301128283,259,516,0,0,11,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.10.json' mode='r' encoding='cp1252'>,infeasible,608.1269404888153,608.1113861999474,8.52589180204086,183,364,0,0,26,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.11.json' mode='r' encoding='cp1252'>,infeasible,609.6099560260773,609.5920790999662,18.365632796427235,187,372,0,0,30,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.12.json' mode='r' encoding='cp1252'>,59,606.7314434051514,606.7154685999267,14.637932498939335,204,406,0,0,18,5,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.13.json' mode='r' encoding='cp1252'>,infeasible,607.162186384201,607.0877928000409,26.45523139834404,175,348,0,0,23,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.14.json' mode='r' encoding='cp1252'>,61,605.6783525943756,605.6620087998454,20.95514649967663,199,396,0,0,22,0,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.15.json' mode='r' encoding='cp1252'>,59,608.7026047706604,608.6411478000227,27.182245598640293,166,330,0,0,18,5,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.16.json' mode='r' encoding='cp1252'>,61,605.2276237010956,605.1650857999921,9.860218500019982,204,406,0,0,33,0,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.17.json' mode='r' encoding='cp1252'>,infeasible,607.3492827415466,607.2732522999868,23.620079998625442,191,380,0,0,11,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.18.json' mode='r' encoding='cp1252'>,61,609.4840004444122,609.4691947998945,21.77618279843591,146,290,0,0,22,0,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.19.json' mode='r' encoding='cp1252'>,infeasible,609.2171216011047,609.1359061000403,19.67735149874352,147,292,0,0,21,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.20.json' mode='r' encoding='cp1252'>,61,606.4498488903046,606.4346219000872,23.38906729547307,221,440,0,0,32,0,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.21.json' mode='r' encoding='cp1252'>,59,608.7483880519867,608.6929909999017,20.86113549838774,170,338,0,0,35,18,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.22.json' mode='r' encoding='cp1252'>,infeasible,604.910683631897,604.8370592999272,11.945798698114231,235,468,0,0,19,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.23.json' mode='r' encoding='cp1252'>,61,607.5259339809418,607.5123850000091,17.260089301969856,175,348,0,0,28,0,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.24.json' mode='r' encoding='cp1252'>,61,604.6690380573273,604.5985200998839,18.44588450109586,189,376,0,0,18,0,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.25.json' mode='r' encoding='cp1252'>,61,610.6136224269867,610.5573737001978,10.188148098997772,137,272,0,0,29,0,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.26.json' mode='r' encoding='cp1252'>,61,606.1041119098663,606.0292017001193,12.782216604333371,199,396,0,0,27,3,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.27.json' mode='r' encoding='cp1252'>,57,606.8740422725677,606.8147623999976,12.914872000925243,185,368,0,0,22,44,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.28.json' mode='r' encoding='cp1252'>,infeasible,604.8892631530762,604.8222753999289,18.18191429786384,404,806,0,0,29,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.29.json' mode='r' encoding='cp1252'>,infeasible,604.4138970375061,604.39951069979,6.143129397183657,251,500,0,0,16,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.30.json' mode='r' encoding='cp1252'>,infeasible,607.611109495163,607.5966497000773,26.523384601343423,259,516,0,0,27,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.31.json' mode='r' encoding='cp1252'>,infeasible,604.7971260547638,604.7823671000078,8.58133000228554,192,382,0,0,16,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.32.json' mode='r' encoding='cp1252'>,61,605.5652258396149,605.5505604001228,16.501159999286756,200,398,0,0,29,35,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.33.json' mode='r' encoding='cp1252'>,infeasible,606.4383397102356,606.3691372000612,14.520524802617729,231,460,0,0,30,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.34.json' mode='r' encoding='cp1252'>,59,606.8129868507385,606.7966630000155,13.050670799566433,289,576,0,0,28,13,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.35.json' mode='r' encoding='cp1252'>,59,605.9871666431427,605.9299264999572,13.986482600448653,218,434,0,0,24,38,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.36.json' mode='r' encoding='cp1252'>,61,607.6572425365448,607.6061782999896,21.13433449715376,179,356,0,0,12,0,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.37.json' mode='r' encoding='cp1252'>,infeasible,609.8641977310181,609.7877766001038,14.340639098547399,214,426,0,0,12,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.38.json' mode='r' encoding='cp1252'>,infeasible,609.4632995128632,609.4482477998827,13.324463701341301,170,338,0,0,23,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.39.json' mode='r' encoding='cp1252'>,59,604.6853883266449,604.6712515999097,14.562832598108798,330,658,0,0,22,24,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.40.json' mode='r' encoding='cp1252'>,infeasible,607.0530180931091,606.9928120998666,15.048155598109588,177,352,0,0,23,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.41.json' mode='r' encoding='cp1252'>,infeasible,607.7528786659241,607.7367180001456,21.889992894837633,219,436,0,0,22,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.42.json' mode='r' encoding='cp1252'>,infeasible,607.3735272884369,607.3579821998719,14.401870703324676,202,402,0,0,17,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.43.json' mode='r' encoding='cp1252'>,59,605.6238903999329,605.6099785000551,19.760051002027467,187,372,0,0,30,46,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.44.json' mode='r' encoding='cp1252'>,infeasible,607.1621952056885,607.1025629998185,14.461942600784823,180,358,0,0,21,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.45.json' mode='r' encoding='cp1252'>,61,607.4142780303955,607.4007798000239,15.030490902252495,167,332,0,0,15,0,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.46.json' mode='r' encoding='cp1252'>,59,607.410174369812,607.3556913000066,11.866900398861617,207,412,0,0,28,21,False,True,True
