instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='../generated_instances/instance-k8.0.json' mode='r' encoding='cp1252'>,infeasible,606.1057569980621,606.0918705000076,6.2836977005936205,148,294,0,0,147,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.1.json' mode='r' encoding='cp1252'>,infeasible,605.3422801494598,605.3297403999604,4.400227199075744,121,240,0,0,120,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.2.json' mode='r' encoding='cp1252'>,infeasible,606.3052170276642,606.291607900057,5.940754998475313,145,288,0,0,144,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.3.json' mode='r' encoding='cp1252'>,infeasible,605.6266918182373,605.6133948999923,3.2840524015482515,139,276,0,0,138,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.4.json' mode='r' encoding='cp1252'>,infeasible,607.7354867458344,607.7226543000434,5.646043402142823,154,306,0,0,153,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.5.json' mode='r' encoding='cp1252'>,infeasible,604.6628510951996,604.6505168001167,4.703567097894847,214,426,0,0,211,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.6.json' mode='r' encoding='cp1252'>,infeasible,604.4010391235352,604.3851660001092,7.811610802076757,160,318,0,0,159,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.7.json' mode='r' encoding='cp1252'>,infeasible,607.8299806118011,607.8166392999701,7.022712403442711,131,260,0,0,130,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.8.json' mode='r' encoding='cp1252'>,infeasible,606.4322805404663,606.4189387999941,4.524433601414785,100,198,0,0,99,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.9.json' mode='r' encoding='cp1252'>,infeasible,606.9524459838867,606.9399578000885,4.462420401163399,189,376,0,0,188,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.10.json' mode='r' encoding='cp1252'>,infeasible,604.8925950527191,604.879602599889,6.317863599164411,146,290,0,0,145,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.11.json' mode='r' encoding='cp1252'>,infeasible,605.8113632202148,605.7977171000093,2.8129973008763045,212,422,0,0,211,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.12.json' mode='r' encoding='cp1252'>,infeasible,609.2980849742889,609.2846240000799,5.2659367001615465,179,356,0,0,178,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.13.json' mode='r' encoding='cp1252'>,infeasible,612.8301107883453,612.8154286001809,6.920411801664159,120,238,0,0,119,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.14.json' mode='r' encoding='cp1252'>,infeasible,605.5110573768616,605.4978713002056,2.6375558031722903,136,270,0,0,135,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.15.json' mode='r' encoding='cp1252'>,infeasible,606.0163087844849,606.003783099819,5.822843301575631,160,318,0,0,159,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.16.json' mode='r' encoding='cp1252'>,infeasible,606.4381372928619,606.4251617002301,2.447155597852543,216,430,0,0,215,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.17.json' mode='r' encoding='cp1252'>,infeasible,606.8229284286499,606.8104028999805,4.495858298614621,159,316,0,0,158,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.18.json' mode='r' encoding='cp1252'>,infeasible,604.2398195266724,604.2267446999904,2.9165873986203223,168,334,0,0,167,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.19.json' mode='r' encoding='cp1252'>,infeasible,604.2840130329132,604.2703071001451,5.852473496692255,193,384,0,0,192,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.20.json' mode='r' encoding='cp1252'>,infeasible,615.823539018631,615.809902299894,2.5520715988241136,104,206,0,0,103,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.21.json' mode='r' encoding='cp1252'>,infeasible,605.2760684490204,605.2629982000217,4.867200799519196,109,216,0,0,108,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.22.json' mode='r' encoding='cp1252'>,infeasible,606.1266770362854,606.1127941000741,4.404130000155419,115,228,0,0,114,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.23.json' mode='r' encoding='cp1252'>,infeasible,608.9704325199127,608.9581387999933,4.622507599415258,105,208,0,0,104,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.24.json' mode='r' encoding='cp1252'>,infeasible,606.1331164836884,606.1205426000524,4.920911799184978,127,252,0,0,126,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.25.json' mode='r' encoding='cp1252'>,infeasible,604.2239804267883,604.209158099955,7.693389501655474,141,280,0,0,140,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.26.json' mode='r' encoding='cp1252'>,infeasible,609.9734184741974,609.9593098000623,4.726381396874785,119,236,0,0,118,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.27.json' mode='r' encoding='cp1252'>,infeasible,604.7978882789612,604.7847782999743,5.518668697448447,142,282,0,0,141,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.28.json' mode='r' encoding='cp1252'>,infeasible,604.5483887195587,604.535710999975,8.827878100564703,240,441,0,0,237,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.29.json' mode='r' encoding='cp1252'>,infeasible,609.2883477210999,609.2764987000264,4.554230798501521,101,200,0,0,100,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.30.json' mode='r' encoding='cp1252'>,infeasible,606.6114165782928,606.5982154998928,2.628597099799663,132,262,0,0,131,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.31.json' mode='r' encoding='cp1252'>,infeasible,605.5251357555389,605.5122225000523,3.9845679034478962,139,276,0,0,138,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.32.json' mode='r' encoding='cp1252'>,infeasible,605.3532636165619,605.3408104998525,2.7120681004598737,136,270,0,0,135,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.33.json' mode='r' encoding='cp1252'>,infeasible,606.6389720439911,606.6258318000473,5.837520401459187,114,226,0,0,113,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.34.json' mode='r' encoding='cp1252'>,infeasible,606.6094830036163,606.5974775999784,4.305009198375046,159,316,0,0,158,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.35.json' mode='r' encoding='cp1252'>,infeasible,608.7220969200134,608.7095296999905,4.252820802619681,147,292,0,0,146,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.36.json' mode='r' encoding='cp1252'>,infeasible,604.2446477413177,604.2313206999097,6.090060801478103,174,346,0,0,173,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.37.json' mode='r' encoding='cp1252'>,infeasible,605.9442727565765,605.9306803999934,5.100571902003139,114,226,0,0,113,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.38.json' mode='r' encoding='cp1252'>,infeasible,607.831120967865,607.8180746999569,2.519395403098315,116,230,0,0,115,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.39.json' mode='r' encoding='cp1252'>,infeasible,608.9620797634125,608.9497889000922,2.8030435021501034,129,256,0,0,128,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.40.json' mode='r' encoding='cp1252'>,infeasible,608.0514914989471,608.0388603999745,3.9524499003309757,117,232,0,0,116,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.41.json' mode='r' encoding='cp1252'>,infeasible,608.0958573818207,608.0824406999163,3.1083362030331045,131,260,0,0,130,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.42.json' mode='r' encoding='cp1252'>,infeasible,607.1085784435272,607.0963229998015,4.399092101259157,127,252,0,0,126,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.43.json' mode='r' encoding='cp1252'>,infeasible,605.8888666629791,605.8763347999193,5.917404399020597,109,216,0,0,108,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.44.json' mode='r' encoding='cp1252'>,infeasible,605.3791604042053,605.3655099000316,4.568006594898179,178,354,0,0,177,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.45.json' mode='r' encoding='cp1252'>,infeasible,606.6343796253204,606.620519499993,2.5434118995908648,114,226,0,0,113,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.46.json' mode='r' encoding='cp1252'>,infeasible,606.9835498332977,606.9711577999406,2.7484411026816815,118,234,0,0,117,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.47.json' mode='r' encoding='cp1252'>,infeasible,606.5889456272125,606.5765111001674,3.0299673001281917,118,234,0,0,117,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.48.json' mode='r' encoding='cp1252'>,infeasible,606.002064704895,605.9889526001643,2.878650200786069,180,358,0,0,179,0
<_io.TextIOWrapper name='../generated_instances/instance-k8.49.json' mode='r' encoding='cp1252'>,infeasible,607.303957939148,607.2912670997903,3.240855400217697,123,244,0,0,122,0
