instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='../generated_instances/instance-k9.0.json' mode='r' encoding='cp1252'>,infeasible,608.6881327629089,608.4851275000256,8.052112800767645,152,302,0,0,56,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.1.json' mode='r' encoding='cp1252'>,infeasible,609.2087209224701,609.146615399979,16.493235198548064,137,272,0,0,37,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.2.json' mode='r' encoding='cp1252'>,infeasible,611.3403928279877,611.319010199979,7.401876598130912,143,284,0,0,66,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.3.json' mode='r' encoding='cp1252'>,infeasible,609.7636053562164,609.7455134999473,11.892377103678882,127,252,0,0,25,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.4.json' mode='r' encoding='cp1252'>,infeasible,606.8045318126678,606.7871250000317,6.569240499520674,131,260,0,0,61,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.5.json' mode='r' encoding='cp1252'>,infeasible,607.1812746524811,607.164427400101,9.191955599933863,183,364,0,0,85,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.6.json' mode='r' encoding='cp1252'>,infeasible,607.8763711452484,607.8576803000178,5.509068700717762,158,314,0,0,41,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.7.json' mode='r' encoding='cp1252'>,infeasible,606.6260712146759,606.6089977999218,4.754239002708346,129,256,0,0,32,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.8.json' mode='r' encoding='cp1252'>,infeasible,609.4127466678619,609.3954685998615,7.107001003809273,139,276,0,0,55,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.9.json' mode='r' encoding='cp1252'>,infeasible,605.700891494751,605.6780286000576,6.3789207972586155,149,296,0,0,54,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.10.json' mode='r' encoding='cp1252'>,infeasible,608.388188123703,608.3697121001314,11.525492899352685,118,234,0,0,60,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.11.json' mode='r' encoding='cp1252'>,infeasible,608.0257074832916,608.0012020999566,7.406062900787219,146,290,0,0,40,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.12.json' mode='r' encoding='cp1252'>,infeasible,611.2494418621063,611.2320386001375,5.753793698735535,140,278,0,0,71,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.13.json' mode='r' encoding='cp1252'>,infeasible,605.9814071655273,605.9663921999745,10.052922598319128,143,284,0,0,50,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.14.json' mode='r' encoding='cp1252'>,infeasible,607.8413512706757,607.8248489000835,4.152209100080654,98,194,0,0,46,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.15.json' mode='r' encoding='cp1252'>,infeasible,608.6944420337677,608.6762350001372,10.980916898930445,138,274,0,0,76,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.16.json' mode='r' encoding='cp1252'>,infeasible,610.8896207809448,610.8732203000691,8.726837097434327,148,294,0,0,48,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.17.json' mode='r' encoding='cp1252'>,infeasible,607.0195200443268,607.0035502000246,5.705019198358059,166,330,0,0,83,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.18.json' mode='r' encoding='cp1252'>,infeasible,608.0929470062256,608.0772893000394,9.747380400775,141,280,0,0,59,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.19.json' mode='r' encoding='cp1252'>,infeasible,608.4551765918732,608.440057599917,9.243124198867008,133,264,0,0,73,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.20.json' mode='r' encoding='cp1252'>,infeasible,607.4794230461121,607.4619893000927,7.438695100368932,151,300,0,0,40,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.21.json' mode='r' encoding='cp1252'>,infeasible,608.5593092441559,608.5429693001788,3.5747624000068754,137,272,0,0,81,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.22.json' mode='r' encoding='cp1252'>,infeasible,606.9668538570404,606.950797899859,9.934962601866573,174,346,0,0,85,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.23.json' mode='r' encoding='cp1252'>,infeasible,608.5897722244263,608.5759898000397,7.110194599721581,147,292,0,0,50,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.24.json' mode='r' encoding='cp1252'>,infeasible,608.1921019554138,608.1768214998301,5.68009910127148,170,338,0,0,40,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.25.json' mode='r' encoding='cp1252'>,infeasible,606.7905209064484,606.7763215000741,20.08120999787934,171,340,0,0,37,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.26.json' mode='r' encoding='cp1252'>,infeasible,608.1280913352966,608.113013900118,7.8750924004707485,163,324,0,0,75,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.27.json' mode='r' encoding='cp1252'>,infeasible,606.222384929657,606.2076654001139,6.152340000029653,119,236,0,0,52,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.28.json' mode='r' encoding='cp1252'>,infeasible,608.4843559265137,608.4685556998011,6.121154000516981,162,322,0,0,75,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.29.json' mode='r' encoding='cp1252'>,infeasible,608.8848643302917,608.8695384000894,5.3864379983861,157,312,0,0,54,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.30.json' mode='r' encoding='cp1252'>,infeasible,607.0430135726929,607.0285027001519,5.989118800731376,124,246,0,0,78,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.31.json' mode='r' encoding='cp1252'>,infeasible,611.4072585105896,611.391116200015,9.777882500551641,151,300,0,0,44,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.32.json' mode='r' encoding='cp1252'>,infeasible,606.7244336605072,606.7076538000256,5.345842798938975,159,316,0,0,64,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.33.json' mode='r' encoding='cp1252'>,infeasible,609.5627129077911,609.5448444001377,9.197587997885421,187,372,0,0,62,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.34.json' mode='r' encoding='cp1252'>,infeasible,607.0410933494568,607.0253188998904,4.625637000659481,173,344,0,0,90,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.35.json' mode='r' encoding='cp1252'>,infeasible,608.3352653980255,608.3188801999204,4.488937703426927,155,308,0,0,72,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.36.json' mode='r' encoding='cp1252'>,infeasible,609.8444888591766,609.8282786000054,9.728486501378939,113,224,0,0,38,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.37.json' mode='r' encoding='cp1252'>,infeasible,605.5501482486725,605.5353000999894,6.0344406014773995,129,256,0,0,76,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.38.json' mode='r' encoding='cp1252'>,infeasible,606.428056716919,606.4129580999725,12.30221830168739,206,410,0,0,89,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.39.json' mode='r' encoding='cp1252'>,infeasible,606.0239424705505,606.0098455999978,8.253030395600945,139,276,0,0,77,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.40.json' mode='r' encoding='cp1252'>,infeasible,607.7865335941315,607.7732278001495,5.79581489902921,143,284,0,0,84,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.41.json' mode='r' encoding='cp1252'>,infeasible,608.2451167106628,608.230222400045,6.654524800367653,190,378,0,0,67,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.42.json' mode='r' encoding='cp1252'>,infeasible,605.3665158748627,605.351437299978,4.988184098154306,176,350,0,0,37,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.43.json' mode='r' encoding='cp1252'>,infeasible,606.5994923114777,606.5809390000068,6.632610501721501,209,416,0,0,76,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.44.json' mode='r' encoding='cp1252'>,infeasible,609.6623520851135,609.6480227999855,9.140393095090985,139,276,0,0,69,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.45.json' mode='r' encoding='cp1252'>,infeasible,611.1623275279999,611.1492115000729,9.737626800779253,141,280,0,0,81,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.46.json' mode='r' encoding='cp1252'>,infeasible,607.5278556346893,607.5131538000423,10.106102498946711,119,236,0,0,59,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.47.json' mode='r' encoding='cp1252'>,infeasible,607.8418111801147,607.8278381000273,6.072234298102558,138,274,0,0,67,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.48.json' mode='r' encoding='cp1252'>,infeasible,608.6976253986359,608.6817653998733,5.84711620118469,151,300,0,0,52,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.49.json' mode='r' encoding='cp1252'>,infeasible,608.0867185592651,608.0714515000582,7.285160599509254,204,406,0,0,59,0
