instance,bypass,cardial_conflicts,heuristic,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='generated_instances/instance-k1.0.json' mode='r' encoding='cp1252'>,False,False,True,5,0.01974630355834961,0.0073887999169528484,0.007209099945612252,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.1.json' mode='r' encoding='cp1252'>,False,False,True,5,0.02360057830810547,0.011068000108934939,0.01081549993250519,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.2.json' mode='r' encoding='cp1252'>,False,False,True,5,0.02300858497619629,0.013001500046811998,0.012696099933236837,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.3.json' mode='r' encoding='cp1252'>,False,False,True,5,0.022897005081176758,0.011672599939629436,0.01141130004543811,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.4.json' mode='r' encoding='cp1252'>,False,False,True,5,0.01712346076965332,0.007183199981227517,0.007007999927736819,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.5.json' mode='r' encoding='cp1252'>,False,False,True,5,0.012372493743896484,0.0024298999924212694,0.0023394000018015504,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.6.json' mode='r' encoding='cp1252'>,False,False,True,5,0.013342142105102539,0.0029443000676110387,0.0028426999924704432,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.7.json' mode='r' encoding='cp1252'>,False,False,True,5,0.032282352447509766,0.020061300019733608,0.01966069999616593,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.8.json' mode='r' encoding='cp1252'>,False,False,True,5,0.024934053421020508,0.011682200012728572,0.011428599944338202,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.9.json' mode='r' encoding='cp1252'>,False,False,True,5,0.026270627975463867,0.013763299910351634,0.013580200029537082,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.10.json' mode='r' encoding='cp1252'>,False,False,True,5,0.030900955200195312,0.017447599908336997,0.017069000052288175,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.11.json' mode='r' encoding='cp1252'>,False,False,True,5,0.01898360252380371,0.007776699960231781,0.007578900083899498,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.12.json' mode='r' encoding='cp1252'>,False,False,True,5,0.027442455291748047,0.01593340002000332,0.0156056999694556,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.13.json' mode='r' encoding='cp1252'>,False,False,True,5,0.02108311653137207,0.010953899938613176,0.010672800010070205,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.14.json' mode='r' encoding='cp1252'>,False,False,True,5,0.015442132949829102,0.0029881999362260103,0.0028728999895974994,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.15.json' mode='r' encoding='cp1252'>,False,False,True,5,0.015403509140014648,0.005071299965493381,0.004931699950248003,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.16.json' mode='r' encoding='cp1252'>,False,False,True,5,0.018520832061767578,0.005819999962113798,0.00563289993442595,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.17.json' mode='r' encoding='cp1252'>,False,False,True,5,0.02249312400817871,0.009743800037540495,0.009472400066442788,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.18.json' mode='r' encoding='cp1252'>,False,False,True,5,0.019354581832885742,0.006680199992842972,0.006492999964393675,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.19.json' mode='r' encoding='cp1252'>,False,False,True,5,0.019980907440185547,0.008750000037252903,0.008540799957700074,1,0,0,0,0,0
