instance,bypass,cardial_conflicts,heuristic,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='generated_instances/instance-k1.0.json' mode='r' encoding='cp1252'>,True,False,False,5,0.02529168128967285,0.011832799995318055,0.011558900005184114,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.1.json' mode='r' encoding='cp1252'>,True,False,False,5,0.024191617965698242,0.011189500102773309,0.010957599966786802,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.2.json' mode='r' encoding='cp1252'>,True,False,False,5,0.020769596099853516,0.009161199908703566,0.00887769996188581,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.3.json' mode='r' encoding='cp1252'>,True,False,False,5,0.023420333862304688,0.012191799934953451,0.011923399986699224,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.4.json' mode='r' encoding='cp1252'>,True,False,False,5,0.022983074188232422,0.012360800057649612,0.012089599971659482,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.5.json' mode='r' encoding='cp1252'>,True,False,False,5,0.01710820198059082,0.003915600012987852,0.003792500006966293,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.6.json' mode='r' encoding='cp1252'>,True,False,False,5,0.01606297492980957,0.005110699916258454,0.0049365999875590205,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.7.json' mode='r' encoding='cp1252'>,True,False,False,5,0.02636861801147461,0.013227600022219121,0.011523999972268939,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.8.json' mode='r' encoding='cp1252'>,True,False,False,5,0.02390599250793457,0.010805099969729781,0.010605599964037538,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.9.json' mode='r' encoding='cp1252'>,True,False,False,5,0.023974180221557617,0.011592699913308024,0.011322499951347709,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.10.json' mode='r' encoding='cp1252'>,True,False,False,5,0.02820587158203125,0.015391999972052872,0.01515969994943589,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.11.json' mode='r' encoding='cp1252'>,True,False,False,5,0.02039647102355957,0.00688360002823174,0.006710699992254376,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.12.json' mode='r' encoding='cp1252'>,True,False,False,5,0.02300262451171875,0.010144300060346723,0.009929999941959977,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.13.json' mode='r' encoding='cp1252'>,True,False,False,5,0.01832723617553711,0.006717900047078729,0.006561500020325184,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.14.json' mode='r' encoding='cp1252'>,True,False,False,5,0.014184236526489258,0.0030716999899595976,0.0029597999528050423,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.15.json' mode='r' encoding='cp1252'>,True,False,False,5,0.016527175903320312,0.005887300008907914,0.005756999948062003,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.16.json' mode='r' encoding='cp1252'>,True,False,False,5,0.01507115364074707,0.0034873998956754804,0.0033756999764591455,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.17.json' mode='r' encoding='cp1252'>,True,False,False,5,0.024367570877075195,0.011708899983204901,0.011506999959237874,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.18.json' mode='r' encoding='cp1252'>,True,False,False,5,0.019570589065551758,0.006599599961191416,0.006400400074198842,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.19.json' mode='r' encoding='cp1252'>,True,False,False,5,0.022051334381103516,0.008680299972184002,0.008498999988660216,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.20.json' mode='r' encoding='cp1252'>,True,False,False,5,0.01569676399230957,0.003720699925906956,0.003243100014515221,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.21.json' mode='r' encoding='cp1252'>,True,False,False,5,0.0167388916015625,0.0048986999318003654,0.004695500014349818,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.22.json' mode='r' encoding='cp1252'>,True,False,False,5,0.024904251098632812,0.011111099971458316,0.010827200021594763,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.23.json' mode='r' encoding='cp1252'>,True,False,False,5,0.020272254943847656,0.009430599980987608,0.009241199935786426,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.24.json' mode='r' encoding='cp1252'>,True,False,False,5,0.017098665237426758,0.006297899992205203,0.006147900014184415,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.25.json' mode='r' encoding='cp1252'>,True,False,False,5,0.018268108367919922,0.007315099937841296,0.00717550003901124,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.26.json' mode='r' encoding='cp1252'>,True,False,False,5,0.02007269859313965,0.007617200026288629,0.0074348000343889,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.27.json' mode='r' encoding='cp1252'>,True,False,False,5,0.012619495391845703,0.0008422000100836158,0.0007682000286877155,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.28.json' mode='r' encoding='cp1252'>,True,False,False,5,0.016840696334838867,0.0031773000955581665,0.0030718999914824963,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.29.json' mode='r' encoding='cp1252'>,True,False,False,5,0.02750372886657715,0.01577029994223267,0.015406199963763356,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.30.json' mode='r' encoding='cp1252'>,True,False,False,5,0.01844167709350586,0.004335000063292682,0.004175900015980005,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.31.json' mode='r' encoding='cp1252'>,True,False,False,5,0.0241239070892334,0.010427800007164478,0.010238800081424415,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.32.json' mode='r' encoding='cp1252'>,True,False,False,5,0.017410993576049805,0.006201100070029497,0.006019299966283143,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.33.json' mode='r' encoding='cp1252'>,True,False,False,5,0.01672077178955078,0.00487320008687675,0.0047354999696835876,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.34.json' mode='r' encoding='cp1252'>,True,False,False,5,0.015424251556396484,0.004731099936179817,0.004587900009937584,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.35.json' mode='r' encoding='cp1252'>,True,False,False,5,0.020137548446655273,0.009274999960325658,0.009091799962334335,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.36.json' mode='r' encoding='cp1252'>,True,False,False,5,0.015728235244750977,0.004675699979998171,0.004530700040049851,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.37.json' mode='r' encoding='cp1252'>,True,False,False,5,0.020984411239624023,0.008923099958337843,0.00868810003157705,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.38.json' mode='r' encoding='cp1252'>,True,False,False,5,0.022742033004760742,0.010252200067043304,0.010006500058807433,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.39.json' mode='r' encoding='cp1252'>,True,False,False,5,0.01958751678466797,0.007377300062216818,0.007145600044168532,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.40.json' mode='r' encoding='cp1252'>,True,False,False,5,0.01929640769958496,0.006825100048445165,0.006638700026087463,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.41.json' mode='r' encoding='cp1252'>,True,False,False,5,0.030063867568969727,0.016803699894808233,0.01652589999139309,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.42.json' mode='r' encoding='cp1252'>,True,False,False,5,0.01644301414489746,0.0043904000194743276,0.004214799962937832,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.43.json' mode='r' encoding='cp1252'>,True,False,False,5,0.022696495056152344,0.011446700082160532,0.011187999974936247,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.44.json' mode='r' encoding='cp1252'>,True,False,False,5,0.02585601806640625,0.014285400044173002,0.013989899889566004,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.45.json' mode='r' encoding='cp1252'>,True,False,False,5,0.02086186408996582,0.0091829999582842,0.008996800053864717,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.46.json' mode='r' encoding='cp1252'>,True,False,False,5,0.020743131637573242,0.009245100081898272,0.008982599945738912,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.47.json' mode='r' encoding='cp1252'>,True,False,False,5,0.01808929443359375,0.0030628000386059284,0.0029235000256448984,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.48.json' mode='r' encoding='cp1252'>,True,False,False,5,0.0203094482421875,0.008419900084845722,0.008192299981601536,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.49.json' mode='r' encoding='cp1252'>,True,False,False,5,0.016802072525024414,0.003045199904590845,0.002920099999755621,1,0,0,0,0,0
