instance,bypass,cardial_conflicts,heuristic,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='generated_instances/instance-k4.0.json' mode='r' encoding='cp1252'>,True,False,True,30,602.1068022251129,602.0744087999919,329.51237019954715,7100,10244,1977,0,0,2
<_io.TextIOWrapper name='generated_instances/instance-k4.1.json' mode='r' encoding='cp1252'>,True,False,True,32,602.062038898468,602.0495788999833,331.153530792566,6644,9896,1695,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k4.2.json' mode='r' encoding='cp1252'>,True,False,True,30,603.0322508811951,603.0177243000362,257.47606139816344,4983,7862,1051,0,0,2
<_io.TextIOWrapper name='generated_instances/instance-k4.3.json' mode='r' encoding='cp1252'>,True,False,True,28,601.3817908763885,601.3666312000714,377.5739762055455,4431,6264,1298,0,0,2560
<_io.TextIOWrapper name='generated_instances/instance-k4.4.json' mode='r' encoding='cp1252'>,True,False,True,30,603.4293406009674,603.412760599982,265.3644606976304,3672,5890,726,0,0,12
<_io.TextIOWrapper name='generated_instances/instance-k4.5.json' mode='r' encoding='cp1252'>,True,False,True,30,604.7575626373291,604.7411524999188,186.82616080041043,5626,8866,1192,0,0,2
<_io.TextIOWrapper name='generated_instances/instance-k4.6.json' mode='r' encoding='cp1252'>,True,False,True,30,604.0268051624298,604.0122561999597,315.932972503826,5029,8228,914,0,0,10
<_io.TextIOWrapper name='generated_instances/instance-k4.7.json' mode='r' encoding='cp1252'>,True,False,True,30,601.4000990390778,601.384309599991,359.0847709060181,7451,9842,2529,0,0,2
<_io.TextIOWrapper name='generated_instances/instance-k4.8.json' mode='r' encoding='cp1252'>,True,False,True,28,600.805145740509,600.7907995000714,413.23549459374044,5206,6786,1812,0,0,2063
<_io.TextIOWrapper name='generated_instances/instance-k4.9.json' mode='r' encoding='cp1252'>,True,False,True,28,601.6964194774628,601.6832931999816,335.5785332995001,6303,7424,2590,0,0,944
<_io.TextIOWrapper name='generated_instances/instance-k4.10.json' mode='r' encoding='cp1252'>,True,False,True,30,602.5613415241241,602.5465580000309,240.98083730309736,8198,11708,2343,0,0,2
<_io.TextIOWrapper name='generated_instances/instance-k4.11.json' mode='r' encoding='cp1252'>,True,False,True,28,601.0196666717529,601.0043994999724,382.240768003976,5201,7176,1612,0,0,2584
<_io.TextIOWrapper name='generated_instances/instance-k4.12.json' mode='r' encoding='cp1252'>,True,False,True,28,601.6833562850952,601.6692265999736,367.16791229555383,3987,6112,930,0,0,898
<_io.TextIOWrapper name='generated_instances/instance-k4.13.json' mode='r' encoding='cp1252'>,True,False,True,30,603.956060886383,603.9411543000024,300.95572090614587,3667,6256,538,0,0,10
<_io.TextIOWrapper name='generated_instances/instance-k4.14.json' mode='r' encoding='cp1252'>,True,False,True,30,604.0212326049805,604.0064607000677,254.67412591271568,5037,8084,994,0,0,2
<_io.TextIOWrapper name='generated_instances/instance-k4.15.json' mode='r' encoding='cp1252'>,True,False,True,30,604.550065279007,604.5346198999323,281.1755353977205,4162,6518,902,0,0,12
<_io.TextIOWrapper name='generated_instances/instance-k4.16.json' mode='r' encoding='cp1252'>,True,False,True,28,601.9204127788544,601.9067709000083,301.19540750060696,5702,5114,3144,0,0,10
<_io.TextIOWrapper name='generated_instances/instance-k4.17.json' mode='r' encoding='cp1252'>,True,False,True,28,602.1104707717896,602.0955696000019,315.1383864909876,5471,10922,9,0,0,2165
<_io.TextIOWrapper name='generated_instances/instance-k4.18.json' mode='r' encoding='cp1252'>,True,False,True,30,601.6124274730682,601.5973621999146,322.7684969934635,5972,8876,1533,0,0,4
<_io.TextIOWrapper name='generated_instances/instance-k4.19.json' mode='r' encoding='cp1252'>,True,False,True,30,602.4123680591583,602.395515399985,313.21279750415124,4814,7776,925,0,0,12
<_io.TextIOWrapper name='generated_instances/instance-k4.20.json' mode='r' encoding='cp1252'>,True,False,True,30,603.250951051712,603.2372040000046,269.93365440156776,4689,7654,861,0,0,6
<_io.TextIOWrapper name='generated_instances/instance-k4.21.json' mode='r' encoding='cp1252'>,True,False,True,28,601.69602394104,601.682567800046,289.1592444970738,9615,9024,5102,0,0,1416
<_io.TextIOWrapper name='generated_instances/instance-k4.22.json' mode='r' encoding='cp1252'>,True,False,True,28,600.9909489154816,600.9778888999717,332.2525780919241,7525,12436,1306,0,0,2949
<_io.TextIOWrapper name='generated_instances/instance-k4.23.json' mode='r' encoding='cp1252'>,True,False,True,30,602.857702255249,602.8458325000247,300.805025801179,4333,7452,606,0,0,12
<_io.TextIOWrapper name='generated_instances/instance-k4.24.json' mode='r' encoding='cp1252'>,True,False,True,30,603.2650623321533,603.2518868000479,287.4628297027666,5204,8542,932,0,0,12
<_io.TextIOWrapper name='generated_instances/instance-k4.25.json' mode='r' encoding='cp1252'>,True,False,True,28,601.1002328395844,601.0865135999629,294.976264503086,4068,5250,1442,0,0,1546
<_io.TextIOWrapper name='generated_instances/instance-k4.26.json' mode='r' encoding='cp1252'>,True,False,True,28,601.1545543670654,601.1426517000655,313.6409500959562,4569,7022,1057,0,0,1264
<_io.TextIOWrapper name='generated_instances/instance-k4.27.json' mode='r' encoding='cp1252'>,True,False,True,30,603.6330125331879,603.620837100083,260.35533720906824,5046,7936,1077,0,0,10
<_io.TextIOWrapper name='generated_instances/instance-k4.28.json' mode='r' encoding='cp1252'>,True,False,True,28,601.196456193924,601.1837828999851,360.36204680625815,5637,8710,1281,0,0,1892
<_io.TextIOWrapper name='generated_instances/instance-k4.29.json' mode='r' encoding='cp1252'>,True,False,True,28,600.9267609119415,600.9145254000323,378.96229179704096,5715,7782,1823,0,0,3170
<_io.TextIOWrapper name='generated_instances/instance-k4.30.json' mode='r' encoding='cp1252'>,True,False,True,28,600.9949450492859,600.9814108000137,348.4233545048628,5467,6940,1996,0,0,1520
<_io.TextIOWrapper name='generated_instances/instance-k4.31.json' mode='r' encoding='cp1252'>,True,False,True,32,602.403190612793,602.3904267000034,341.43838450103067,4452,7478,712,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k4.32.json' mode='r' encoding='cp1252'>,True,False,True,28,601.1490623950958,601.1361005000072,297.95298090192955,5461,6762,2079,0,0,1712
<_io.TextIOWrapper name='generated_instances/instance-k4.33.json' mode='r' encoding='cp1252'>,True,False,True,32,602.8989715576172,602.8866290999576,248.3208789974451,4089,6298,939,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k4.34.json' mode='r' encoding='cp1252'>,True,False,True,30,603.2768230438232,603.2639413999859,255.00941029388923,5008,8420,797,0,0,6
<_io.TextIOWrapper name='generated_instances/instance-k4.35.json' mode='r' encoding='cp1252'>,True,False,True,30,602.3625552654266,602.3499374999665,301.15604990627617,5401,9034,883,0,0,8
<_io.TextIOWrapper name='generated_instances/instance-k4.36.json' mode='r' encoding='cp1252'>,True,False,True,30,603.7077102661133,603.6952007999644,247.39307350292802,4492,7878,552,0,0,8
<_io.TextIOWrapper name='generated_instances/instance-k4.37.json' mode='r' encoding='cp1252'>,True,False,True,28,601.2687542438507,601.2552089999663,376.07369129674044,4653,6114,1595,0,0,1644
<_io.TextIOWrapper name='generated_instances/instance-k4.38.json' mode='r' encoding='cp1252'>,True,False,True,30,602.7600798606873,602.7471016000491,220.44360140291974,10413,14230,3297,0,0,2
<_io.TextIOWrapper name='generated_instances/instance-k4.39.json' mode='r' encoding='cp1252'>,True,False,True,28,600.9468312263489,600.9317785999738,391.7501780006569,3667,4360,1486,0,0,862
<_io.TextIOWrapper name='generated_instances/instance-k4.40.json' mode='r' encoding='cp1252'>,True,False,True,28,601.1607694625854,601.1483716000803,344.11512860574294,4379,6006,1375,0,0,2299
<_io.TextIOWrapper name='generated_instances/instance-k4.41.json' mode='r' encoding='cp1252'>,True,False,True,32,602.1518905162811,602.1386087000137,413.28712090011686,6424,10356,1245,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k4.42.json' mode='r' encoding='cp1252'>,True,False,True,28,601.5446174144745,601.5328081999905,337.0006263968535,4050,5970,1064,0,0,10
<_io.TextIOWrapper name='generated_instances/instance-k4.43.json' mode='r' encoding='cp1252'>,True,False,True,28,601.0326006412506,601.0203542000381,313.5047038006596,5824,7386,2130,0,0,2002
<_io.TextIOWrapper name='generated_instances/instance-k4.44.json' mode='r' encoding='cp1252'>,True,False,True,32,602.5330402851105,602.5208109000232,297.19318179797847,4124,6430,908,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k4.45.json' mode='r' encoding='cp1252'>,True,False,True,28,601.639062166214,601.6253805999877,290.1058495967882,6095,7568,2310,0,0,462
<_io.TextIOWrapper name='generated_instances/instance-k4.46.json' mode='r' encoding='cp1252'>,True,False,True,30,602.6328232288361,602.6180633000331,260.719968294492,4278,6564,995,0,0,2
<_io.TextIOWrapper name='generated_instances/instance-k4.47.json' mode='r' encoding='cp1252'>,True,False,True,30,602.464720249176,602.4505598000251,276.51584840065334,7105,10318,1945,0,0,2
<_io.TextIOWrapper name='generated_instances/instance-k4.48.json' mode='r' encoding='cp1252'>,True,False,True,32,602.8151595592499,602.7999509000219,309.02988190343603,4604,7010,1098,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k4.49.json' mode='r' encoding='cp1252'>,True,False,True,30,603.295628786087,603.282547299983,332.9823094960302,5067,8888,622,0,0,12
