instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='generated_instances/instance-k6.0.json' mode='r' encoding='cp1252'>,infeasible,601.767096042633,601.7530751000158,297.00927970174234,3055,5450,329,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.1.json' mode='r' encoding='cp1252'>,infeasible,602.4753284454346,602.4629352999618,254.07608729903586,1847,3676,8,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.2.json' mode='r' encoding='cp1252'>,infeasible,602.683886051178,602.6710609999718,280.82317919586785,2576,5130,10,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.3.json' mode='r' encoding='cp1252'>,infeasible,602.2666747570038,602.2552709000884,260.83257259905804,3325,6624,12,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.4.json' mode='r' encoding='cp1252'>,infeasible,602.4623947143555,602.449855600018,225.61224420031067,1870,3724,7,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.5.json' mode='r' encoding='cp1252'>,infeasible,602.3944561481476,602.3820119999582,274.3254215028137,4413,6176,1324,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.6.json' mode='r' encoding='cp1252'>,infeasible,601.9701271057129,601.9585177999688,275.19778090226464,1521,3022,9,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.7.json' mode='r' encoding='cp1252'>,infeasible,601.853761434555,601.8411496999906,305.22936859796755,1866,3712,9,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.8.json' mode='r' encoding='cp1252'>,infeasible,601.9504075050354,601.938510100008,244.95021650346462,2126,4240,5,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.9.json' mode='r' encoding='cp1252'>,infeasible,603.7668023109436,603.7541965000564,255.33471389731858,3000,5972,13,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.10.json' mode='r' encoding='cp1252'>,infeasible,601.7978932857513,601.7855786000146,222.21526060195174,1937,3404,234,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.11.json' mode='r' encoding='cp1252'>,infeasible,601.9906451702118,601.9785817998927,151.1793867017841,1273,2532,6,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.12.json' mode='r' encoding='cp1252'>,infeasible,601.822240114212,601.8103334000334,252.1173488049535,1864,3712,7,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.13.json' mode='r' encoding='cp1252'>,infeasible,602.5586335659027,602.5455299000023,222.46047529869247,2012,4010,6,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.14.json' mode='r' encoding='cp1252'>,infeasible,602.59361577034,602.5808637000155,229.4950280005578,2398,4408,193,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.15.json' mode='r' encoding='cp1252'>,infeasible,601.8628661632538,601.8500797000015,182.7902413016418,2694,3972,707,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.16.json' mode='r' encoding='cp1252'>,infeasible,603.6589362621307,603.6451293999562,175.3364132012939,2588,5160,7,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.17.json' mode='r' encoding='cp1252'>,infeasible,602.3455095291138,602.3331018999452,302.0654966046568,4103,7966,119,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.18.json' mode='r' encoding='cp1252'>,infeasible,603.8594946861267,603.8479268000228,154.29548629792407,2221,4416,12,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.19.json' mode='r' encoding='cp1252'>,infeasible,602.8703744411469,602.8578874000814,252.0641029990511,3086,6166,2,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.20.json' mode='r' encoding='cp1252'>,infeasible,601.9077489376068,601.8949458999559,281.1012285015313,1793,3570,7,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.21.json' mode='r' encoding='cp1252'>,infeasible,601.9841420650482,601.9701235999819,181.27827099652495,1675,3328,10,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.22.json' mode='r' encoding='cp1252'>,infeasible,602.9754204750061,602.9631675999844,188.35858689947054,2015,3660,184,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k6.23.json' mode='r' encoding='cp1252'>,infeasible,602.8257029056549,602.8138988000574,211.32970819808543,1981,3944,8,0,0,0
