instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost,bypass,cardial_conflicts,heuristic
<_io.TextIOWrapper name='generated_instances/instance-k7.0.json' mode='r' encoding='cp1252'>,infeasible,602.1250171661377,602.0969964000396,173.8680878955638,3235,3816,1326,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.1.json' mode='r' encoding='cp1252'>,59,601.6618885993958,601.6489386999747,250.1199006966781,4139,5330,1473,0,0,296,True,False,True
<_io.TextIOWrapper name='generated_instances/instance-k7.2.json' mode='r' encoding='cp1252'>,infeasible,602.8280620574951,602.8055209999438,225.59364330628887,5552,7738,1682,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.3.json' mode='r' encoding='cp1252'>,infeasible,602.9300701618195,602.914531800081,201.06934129609726,2898,4224,785,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.4.json' mode='r' encoding='cp1252'>,infeasible,602.1105864048004,602.0928932999959,218.73782099969685,3032,4962,550,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.5.json' mode='r' encoding='cp1252'>,infeasible,602.0701768398285,602.0530135999434,240.17733320093248,2682,3346,1008,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.6.json' mode='r' encoding='cp1252'>,infeasible,602.1069917678833,602.0858276999788,259.2947364054853,2512,4420,301,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.7.json' mode='r' encoding='cp1252'>,infeasible,601.8290793895721,601.80774259998,297.4769580990542,2317,4616,8,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.8.json' mode='r' encoding='cp1252'>,infeasible,602.6682367324829,602.649842999992,215.5426582961809,2650,5226,36,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.9.json' mode='r' encoding='cp1252'>,infeasible,602.0184466838837,602.0020757999737,163.58034730155487,4173,4952,1696,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.10.json' mode='r' encoding='cp1252'>,infeasible,602.1081140041351,602.0925103999907,164.10824589873664,2118,4220,7,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.11.json' mode='r' encoding='cp1252'>,infeasible,602.7930591106415,602.776295299991,215.11249019706156,3457,3634,1639,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.12.json' mode='r' encoding='cp1252'>,infeasible,602.7565739154816,602.7414472999517,172.93667889828794,3143,3536,1374,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.13.json' mode='r' encoding='cp1252'>,infeasible,602.3209023475647,602.3044209999498,245.63861939532217,3087,3700,1236,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.14.json' mode='r' encoding='cp1252'>,infeasible,602.5871081352234,602.5723422999727,280.4291543994332,2502,4990,6,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.15.json' mode='r' encoding='cp1252'>,infeasible,602.1880750656128,602.1751105999574,204.68344920221716,3303,3520,1542,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.16.json' mode='r' encoding='cp1252'>,infeasible,602.654767036438,602.63921449997,220.43023040308617,3563,5092,1016,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.17.json' mode='r' encoding='cp1252'>,infeasible,602.1376667022705,602.1226999000646,151.80073360237293,2513,2760,1132,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.18.json' mode='r' encoding='cp1252'>,infeasible,602.399644613266,602.3860203999793,273.0719457991654,1996,3090,450,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.19.json' mode='r' encoding='cp1252'>,infeasible,601.7442224025726,601.7283180999802,169.87005449668504,2002,2768,617,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.20.json' mode='r' encoding='cp1252'>,infeasible,602.2361178398132,602.2208634000272,254.35225859493949,4061,4474,1823,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.21.json' mode='r' encoding='cp1252'>,infeasible,602.2021126747131,602.1861425000243,250.5901274086209,3606,4040,1585,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.22.json' mode='r' encoding='cp1252'>,infeasible,601.5424180030823,601.5274225999601,254.13699559657834,4803,5934,1835,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.23.json' mode='r' encoding='cp1252'>,infeasible,601.4945960044861,601.4810601000208,279.5988593030488,2585,3154,1007,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.24.json' mode='r' encoding='cp1252'>,infeasible,602.4090116024017,602.3919384999899,235.50555860158056,4047,4406,1843,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.25.json' mode='r' encoding='cp1252'>,infeasible,601.5341036319733,601.5204006999265,118.25334600033239,2557,2950,1081,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.26.json' mode='r' encoding='cp1252'>,infeasible,602.0430455207825,602.0298634000355,241.58226680010557,3712,4714,1354,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.27.json' mode='r' encoding='cp1252'>,infeasible,601.6534402370453,601.6397392000072,274.5474236024311,3498,4382,1306,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.28.json' mode='r' encoding='cp1252'>,infeasible,602.0132465362549,601.9980865999823,245.1843197956914,5759,7724,1896,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.29.json' mode='r' encoding='cp1252'>,infeasible,601.3992767333984,601.3855294999667,326.60890550143085,4693,5914,1735,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.30.json' mode='r' encoding='cp1252'>,infeasible,601.8434517383575,601.8287908999482,177.81283969362266,3268,4030,1252,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.31.json' mode='r' encoding='cp1252'>,infeasible,601.8713822364807,601.8560076999711,269.78227689955384,3519,4286,1375,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.32.json' mode='r' encoding='cp1252'>,infeasible,602.1460299491882,602.13269759994,233.9568580018822,3178,4206,1074,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.33.json' mode='r' encoding='cp1252'>,infeasible,602.112363576889,602.098963299999,195.70570490148384,4801,5240,2180,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.34.json' mode='r' encoding='cp1252'>,infeasible,602.5071585178375,602.4938377999933,192.29034799488727,3912,4864,1479,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.35.json' mode='r' encoding='cp1252'>,infeasible,601.7947869300842,601.7813597000204,214.645153792575,3540,4128,1475,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.36.json' mode='r' encoding='cp1252'>,infeasible,601.9345245361328,601.9208715999266,241.62366779521108,3708,4588,1413,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.37.json' mode='r' encoding='cp1252'>,infeasible,603.3037176132202,603.2863538999809,171.17666749982163,3334,4338,1164,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.38.json' mode='r' encoding='cp1252'>,infeasible,601.7805552482605,601.7641384999733,314.70545920496807,2349,4082,307,0,0,0,,,
