instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost,bypass,cardial_conflicts,heuristic
<_io.TextIOWrapper name='generated_instances/instance-k8.0.json' mode='r' encoding='cp1252'>,infeasible,602.3296203613281,602.3163667999906,258.7956209011609,2144,4286,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.1.json' mode='r' encoding='cp1252'>,infeasible,601.7166454792023,601.7041139999637,194.64506120060105,3492,6982,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.2.json' mode='r' encoding='cp1252'>,infeasible,601.9334933757782,601.9185207999544,264.65986630273983,3087,6172,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.3.json' mode='r' encoding='cp1252'>,infeasible,602.4028985500336,602.3902023999253,228.1823355020024,2735,5468,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.4.json' mode='r' encoding='cp1252'>,infeasible,601.8950886726379,601.8814329999732,295.91992929775734,2312,4622,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.5.json' mode='r' encoding='cp1252'>,infeasible,602.676463842392,602.6630005999468,275.1546824051766,4379,8756,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.6.json' mode='r' encoding='cp1252'>,infeasible,601.8303785324097,601.8165445999475,227.62015809700824,2122,4242,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.7.json' mode='r' encoding='cp1252'>,infeasible,602.5180497169495,602.5047875000164,259.73442019638605,2542,5082,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.8.json' mode='r' encoding='cp1252'>,infeasible,601.7299284934998,601.7158962000394,264.5400050042663,2137,4272,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.9.json' mode='r' encoding='cp1252'>,infeasible,602.031102180481,602.0176945999265,225.73331879230682,3610,7218,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.10.json' mode='r' encoding='cp1252'>,infeasible,602.6261150836945,602.6118661999935,283.3266069998499,1982,3962,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.11.json' mode='r' encoding='cp1252'>,infeasible,602.7528612613678,602.7387742999708,93.33202730189078,4645,9288,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.12.json' mode='r' encoding='cp1252'>,infeasible,602.3334867954254,602.3200693000108,322.184687803383,2332,4662,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.13.json' mode='r' encoding='cp1252'>,infeasible,601.788144826889,601.7749835000141,266.06399940128904,2274,4546,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.14.json' mode='r' encoding='cp1252'>,infeasible,601.9948062896729,601.9815972999204,173.1346973021282,3007,6012,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.15.json' mode='r' encoding='cp1252'>,72,601.6347823143005,601.6210826999741,315.3166924037505,3500,6998,0,0,0,161,False,False,True
<_io.TextIOWrapper name='generated_instances/instance-k8.16.json' mode='r' encoding='cp1252'>,infeasible,602.760618686676,602.74530770001,191.39136380585842,5603,11204,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.17.json' mode='r' encoding='cp1252'>,72,602.1987888813019,602.1861757000443,229.92191780020948,4380,8758,0,0,0,298,False,False,True
<_io.TextIOWrapper name='generated_instances/instance-k8.18.json' mode='r' encoding='cp1252'>,infeasible,601.7763686180115,601.7607454999816,269.81603360257577,2814,5626,0,0,0,0,,,
