instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='generated_instances/instance-k9.0.json' mode='r' encoding='cp1252'>,infeasible,602.1181161403656,602.1050372999161,178.76956569962204,1632,3262,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.1.json' mode='r' encoding='cp1252'>,infeasible,602.1866216659546,602.172466399963,209.66302189743146,1729,3456,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.2.json' mode='r' encoding='cp1252'>,infeasible,603.7012324333191,603.685707500088,216.29839220200665,2354,4706,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.3.json' mode='r' encoding='cp1252'>,infeasible,601.9352145195007,601.9203111000825,283.0630665004719,1913,3824,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.4.json' mode='r' encoding='cp1252'>,infeasible,603.0552685260773,603.0420793000376,110.13077230437193,1427,2852,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.5.json' mode='r' encoding='cp1252'>,infeasible,603.4913017749786,603.476597199915,169.13814820582047,2594,5186,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.6.json' mode='r' encoding='cp1252'>,infeasible,602.965660572052,602.9518097999971,192.42737690114882,1686,3370,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.7.json' mode='r' encoding='cp1252'>,infeasible,602.4553499221802,602.441037200042,204.46072490001097,1495,2988,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.8.json' mode='r' encoding='cp1252'>,infeasible,602.0014822483063,601.9875222999835,200.13911680248566,2544,5086,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.9.json' mode='r' encoding='cp1252'>,infeasible,602.0790436267853,602.0656436999561,248.7004386022454,1859,3716,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.10.json' mode='r' encoding='cp1252'>,infeasible,601.7564115524292,601.7419400999788,244.66993640176952,1662,3322,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.11.json' mode='r' encoding='cp1252'>,infeasible,603.1705050468445,603.154943499947,156.10243689629715,1293,2584,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.12.json' mode='r' encoding='cp1252'>,infeasible,603.3648316860199,603.3511682999087,154.17552159924526,1314,2626,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.13.json' mode='r' encoding='cp1252'>,infeasible,602.0377230644226,602.0248912000097,213.82991229987238,2018,4034,0,0,0,0
