instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='generated_instances/instance-k9.0.json' mode='r' encoding='cp1252'>,infeasible,603.4403262138367,603.4185667999554,174.9452682029223,1664,3138,94,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.1.json' mode='r' encoding='cp1252'>,infeasible,602.6698818206787,602.6535322000273,191.0375193975633,1971,2390,775,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.2.json' mode='r' encoding='cp1252'>,infeasible,601.6845803260803,601.6688376000384,138.54549990058877,1946,2362,764,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.3.json' mode='r' encoding='cp1252'>,infeasible,602.9012684822083,602.8853561000433,106.40904060134199,1967,2828,552,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.4.json' mode='r' encoding='cp1252'>,infeasible,601.9514479637146,601.9331492000492,108.46517349779606,1521,1664,688,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.5.json' mode='r' encoding='cp1252'>,infeasible,602.2591886520386,602.2398702000501,198.93442019773647,1679,2974,191,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.6.json' mode='r' encoding='cp1252'>,infeasible,602.0334379673004,602.0183901999844,197.24423000123352,1716,2234,598,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.7.json' mode='r' encoding='cp1252'>,infeasible,602.5205664634705,602.5044724000618,142.6309026981471,1398,2750,22,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.8.json' mode='r' encoding='cp1252'>,infeasible,602.714831829071,602.6975987999467,131.44728990073781,1910,2094,862,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.9.json' mode='r' encoding='cp1252'>,infeasible,602.7240934371948,602.7089840000262,151.857007397688,1358,1672,521,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.10.json' mode='r' encoding='cp1252'>,infeasible,602.1639153957367,602.1481973000336,122.04212989693042,1520,1692,673,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.11.json' mode='r' encoding='cp1252'>,infeasible,602.4297573566437,602.4133010000223,157.96106310293544,1347,1644,524,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.12.json' mode='r' encoding='cp1252'>,infeasible,602.8075938224792,602.7928446999285,144.45561089960393,1457,1778,567,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.13.json' mode='r' encoding='cp1252'>,infeasible,602.0985622406006,602.0841020999942,113.17402619530912,1991,2194,893,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k9.14.json' mode='r' encoding='cp1252'>,infeasible,603.1746912002563,603.1565612999257,131.9814368019579,969,1242,347,0,0,0
