instance,instances-solved,optimal,CBS-H,ratioCBS,CBS-PC-H,ratioCBS-PC,CBS-BP-H,ratioCBS-BP,CBS-BP-PC-H,ratioCBS-BP-PC
1,50,4.999999999999998,4.999999999999998,100.0,4.999999999999998,100.0,4.999999999999998,100.0,4.999999999999998,100.0
2,50,12.000000000000009,12.000000000000009,100.0,12.000000000000009,100.0,12.000000000000009,100.0,12.000000000000009,100.0
3,50,19.400000000000013,19.400000000000013,100.0,19.400000000000013,100.0,19.400000000000013,100.0,19.400000000000013,100.0
4,45,28.000000000000018,28.133333333333354,100.4761904761905,28.666666666666686,102.3809523809524,29.11111111111113,103.96825396825395,29.11111111111113,103.96825396825395
5,0,0.0,0.0,,0.0,,0.0,,0.0,
6,0,0.0,0.0,,0.0,,0.0,,0.0,
7,0,0.0,0.0,,0.0,,0.0,,0.0,
8,0,0.0,0.0,,0.0,,0.0,,0.0,
9,0,0.0,0.0,,0.0,,0.0,,0.0,
10,0,0.0,0.0,,0.0,,0.0,,0.0,
11,0,0.0,0.0,,0.0,,0.0,,0.0,
12,0,0.0,0.0,,0.0,,0.0,,0.0,
