instance,bypass,cardial_conflicts,heuristic,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='generated_instances/instance-k1.0.json' mode='r' encoding='cp1252'>,False,False,False,5,0.030730485916137695,0.011952600034419447,0.011644800018984824,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.1.json' mode='r' encoding='cp1252'>,False,False,False,5,0.03256344795227051,0.01526960002956912,0.01492549997055903,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.2.json' mode='r' encoding='cp1252'>,False,False,False,5,0.20311713218688965,0.014933500031474978,0.0145699999993667,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.3.json' mode='r' encoding='cp1252'>,False,False,False,5,0.05547833442687988,0.012927400006446987,0.012610499979928136,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.4.json' mode='r' encoding='cp1252'>,False,False,False,5,0.032541751861572266,0.012686199974268675,0.012303600029554218,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.5.json' mode='r' encoding='cp1252'>,False,False,False,5,0.023464202880859375,0.004348599992226809,0.004145100014284253,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.6.json' mode='r' encoding='cp1252'>,False,False,False,5,0.028636693954467773,0.005088400037493557,0.004920900042634457,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.7.json' mode='r' encoding='cp1252'>,False,False,False,5,0.04231595993041992,0.019661500002257526,0.019265899958554655,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.8.json' mode='r' encoding='cp1252'>,False,False,False,5,0.03102707862854004,0.011045799998100847,0.010788200015667826,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.9.json' mode='r' encoding='cp1252'>,False,False,False,5,0.03276658058166504,0.012157499964814633,0.011905100021976978,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.10.json' mode='r' encoding='cp1252'>,False,False,False,5,0.03662610054016113,0.017602199979592115,0.01727379998192191,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.11.json' mode='r' encoding='cp1252'>,False,False,False,5,0.027012348175048828,0.00905549997696653,0.008839700021781027,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.12.json' mode='r' encoding='cp1252'>,False,False,False,5,0.03187108039855957,0.014097700011916459,0.013774099992588162,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.13.json' mode='r' encoding='cp1252'>,False,False,False,5,0.028928518295288086,0.011086700018495321,0.010827199963387102,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.14.json' mode='r' encoding='cp1252'>,False,False,False,5,0.02276897430419922,0.005513499956578016,0.005351400002837181,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.15.json' mode='r' encoding='cp1252'>,False,False,False,5,0.026581287384033203,0.008790099993348122,0.008562600007280707,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.16.json' mode='r' encoding='cp1252'>,False,False,False,5,0.023737668991088867,0.005910499952733517,0.005730399978347123,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.17.json' mode='r' encoding='cp1252'>,False,False,False,5,0.0282900333404541,0.010490100015886128,0.010221300006378442,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.18.json' mode='r' encoding='cp1252'>,False,False,False,5,0.02635502815246582,0.007049100007861853,0.006853099970612675,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.19.json' mode='r' encoding='cp1252'>,False,False,False,5,0.02630925178527832,0.008797499991487712,0.00858439999865368,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.20.json' mode='r' encoding='cp1252'>,False,False,False,5,0.02348923683166504,0.004112199996598065,0.003930600010789931,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.21.json' mode='r' encoding='cp1252'>,False,False,False,5,0.024096012115478516,0.005655800050590187,0.005462199973408133,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.22.json' mode='r' encoding='cp1252'>,False,False,False,5,0.03209543228149414,0.01380839996272698,0.01347509998595342,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.23.json' mode='r' encoding='cp1252'>,False,False,False,5,0.03873133659362793,0.019062000035773963,0.018741899984888732,1,0,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k1.24.json' mode='r' encoding='cp1252'>,False,False,False,5,0.036133766174316406,0.0184043999761343,0.018154999997932464,1,0,0,0,0,0
