instance,bypass,cardial_conflicts,heuristic,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='../generated_instances/instance-k1.0.json' mode='r' encoding='cp1252'>,True,True,False,5,0.5209560394287109,0.5010714000090957,0.012075499980710447,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.1.json' mode='r' encoding='cp1252'>,True,True,False,5,0.7625551223754883,0.7332620999077335,0.018118300009518862,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.2.json' mode='r' encoding='cp1252'>,True,True,False,5,0.5863876342773438,0.5541297000600025,0.012466100044548512,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.3.json' mode='r' encoding='cp1252'>,True,True,False,5,0.5592193603515625,0.5333223999477923,0.008883200003765523,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.4.json' mode='r' encoding='cp1252'>,True,True,False,5,0.6236183643341064,0.5906796999042854,0.011907299980521202,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.5.json' mode='r' encoding='cp1252'>,True,True,False,5,0.16025948524475098,0.13023650005925447,0.003109700046479702,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.6.json' mode='r' encoding='cp1252'>,True,True,False,5,0.22141146659851074,0.19964560004882514,0.004109499976038933,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.7.json' mode='r' encoding='cp1252'>,True,True,False,5,0.8370656967163086,0.8138325999025255,0.014426099951379001,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.8.json' mode='r' encoding='cp1252'>,True,True,False,5,0.5234224796295166,0.49440229998435825,0.010718900011852384,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.9.json' mode='r' encoding='cp1252'>,True,True,False,5,0.5101821422576904,0.4856643999228254,0.01187489996664226,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.10.json' mode='r' encoding='cp1252'>,True,True,False,5,0.7966392040252686,0.771652500028722,0.012365599977783859,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.11.json' mode='r' encoding='cp1252'>,True,True,False,5,0.41351962089538574,0.37930609995964915,0.007530599948950112,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.12.json' mode='r' encoding='cp1252'>,True,True,False,5,0.6744804382324219,0.6502661000704393,0.014932500082068145,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.13.json' mode='r' encoding='cp1252'>,True,True,False,5,0.5024082660675049,0.46785749995615333,0.007557600038126111,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.14.json' mode='r' encoding='cp1252'>,True,True,False,5,0.21785306930541992,0.18982649990357459,0.004790199920535088,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.15.json' mode='r' encoding='cp1252'>,True,True,False,5,0.36017394065856934,0.3395332000218332,0.005001099896617234,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.16.json' mode='r' encoding='cp1252'>,True,True,False,5,0.21544361114501953,0.19077250000555068,0.004991100053302944,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.17.json' mode='r' encoding='cp1252'>,True,True,False,5,0.5679211616516113,0.5440266000805423,0.007523800013586879,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.18.json' mode='r' encoding='cp1252'>,True,True,False,5,0.30948972702026367,0.2787151999073103,0.0059665999142453074,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.19.json' mode='r' encoding='cp1252'>,True,True,False,5,0.30974864959716797,0.28858349996153265,0.004983599996194243,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.20.json' mode='r' encoding='cp1252'>,True,True,False,5,0.1883869171142578,0.16174749995116144,0.0033961000153794885,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.21.json' mode='r' encoding='cp1252'>,True,True,False,5,0.24661946296691895,0.22595580003689975,0.005723100039176643,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.22.json' mode='r' encoding='cp1252'>,True,True,False,5,0.5897834300994873,0.5645632999949157,0.01258019998203963,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.23.json' mode='r' encoding='cp1252'>,True,True,False,5,0.6556797027587891,0.6266874999273568,0.01819990004878491,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.24.json' mode='r' encoding='cp1252'>,True,True,False,5,0.45472002029418945,0.42548689991235733,0.010063199908472598,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.25.json' mode='r' encoding='cp1252'>,True,True,False,5,0.40550899505615234,0.3776250999653712,0.009709200006909668,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.26.json' mode='r' encoding='cp1252'>,True,True,False,5,0.50077223777771,0.474260599934496,0.00817570008803159,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.27.json' mode='r' encoding='cp1252'>,True,True,False,5,0.05220794677734375,0.023175499984063208,0.0007974000182002783,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.28.json' mode='r' encoding='cp1252'>,True,True,False,5,0.20366477966308594,0.18687600002158433,0.0045152000384405255,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.29.json' mode='r' encoding='cp1252'>,True,True,False,5,0.7792506217956543,0.7559555999469012,0.011550599941983819,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.30.json' mode='r' encoding='cp1252'>,True,True,False,5,0.19634652137756348,0.16340780002065003,0.004126099986024201,1,0,0,0,0,0
<_io.TextIOWrapper name='../generated_instances/instance-k1.31.json' mode='r' encoding='cp1252'>,True,True,False,5,0.4714827537536621,0.4467800999991596,0.00657079997472465,1,0,0,0,0,0
