instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='generated_instances/instance-k11.0.json' mode='r' encoding='cp1252'>,infeasible,301.94668459892273,301.89380590000656,31.69716210005572,312,598,12,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.1.json' mode='r' encoding='cp1252'>,infeasible,302.7190854549408,302.6464590000105,34.116963200154714,354,690,8,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.2.json' mode='r' encoding='cp1252'>,infeasible,302.30401515960693,302.21607149997726,42.814741700480226,241,466,7,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.3.json' mode='r' encoding='cp1252'>,infeasible,303.1529371738434,303.094125100004,31.609329499769956,210,408,5,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.4.json' mode='r' encoding='cp1252'>,infeasible,302.6856837272644,302.63065919996006,30.98304260073928,359,694,11,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.5.json' mode='r' encoding='cp1252'>,infeasible,301.7689096927643,301.7090814000112,24.748011100280564,337,656,8,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.6.json' mode='r' encoding='cp1252'>,infeasible,302.0892918109894,302.03864189999877,48.77993749984307,286,554,8,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.7.json' mode='r' encoding='cp1252'>,infeasible,304.34367871284485,304.28873770002974,44.006353099655826,219,398,19,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.8.json' mode='r' encoding='cp1252'>,infeasible,302.2685122489929,302.21376780001447,26.635963998851366,260,498,10,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.9.json' mode='r' encoding='cp1252'>,infeasible,302.37859439849854,302.3208201000234,41.67392569890944,296,560,15,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.10.json' mode='r' encoding='cp1252'>,infeasible,301.8294982910156,301.76648330001626,26.48154739959864,349,456,120,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.11.json' mode='r' encoding='cp1252'>,infeasible,303.5014979839325,303.45014049997553,42.73727159999544,261,500,10,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k11.12.json' mode='r' encoding='cp1252'>,infeasible,303.3855609893799,303.30706689995714,51.59050620067865,378,738,8,0,0,0
