instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='generated_instances/instance-k12.0.json' mode='r' encoding='cp1252'>,infeasible,302.687376499176,302.61335739999777,74.54792919935426,418,834,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.1.json' mode='r' encoding='cp1252'>,infeasible,304.9820282459259,304.92162129998906,42.98750780062983,376,750,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.2.json' mode='r' encoding='cp1252'>,infeasible,302.616060256958,302.54829140001675,53.221953398082405,574,1146,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.3.json' mode='r' encoding='cp1252'>,infeasible,302.4937722682953,302.4195114999893,78.42423239996424,616,1230,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.4.json' mode='r' encoding='cp1252'>,infeasible,302.78243231773376,302.73268539999845,59.05101540090982,462,922,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.5.json' mode='r' encoding='cp1252'>,infeasible,303.1679675579071,303.0861346999882,31.908147899142932,218,434,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.6.json' mode='r' encoding='cp1252'>,infeasible,302.16521430015564,302.07487110001966,72.19282600010047,459,916,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.7.json' mode='r' encoding='cp1252'>,infeasible,303.76517486572266,303.7050414000405,59.87773150060093,423,844,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.8.json' mode='r' encoding='cp1252'>,infeasible,302.7870030403137,302.6441877000034,56.98233819910092,484,966,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.9.json' mode='r' encoding='cp1252'>,infeasible,303.0405354499817,302.9503710999852,74.87606460019015,473,944,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.10.json' mode='r' encoding='cp1252'>,infeasible,303.00344729423523,302.9414247999666,46.1462929995032,436,870,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.11.json' mode='r' encoding='cp1252'>,infeasible,303.4284291267395,303.3394206999801,59.51720079948427,368,734,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.12.json' mode='r' encoding='cp1252'>,infeasible,303.8462836742401,303.76427899999544,60.109250099689234,361,720,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.13.json' mode='r' encoding='cp1252'>,infeasible,302.10979080200195,302.02738550002687,56.037701000168454,331,660,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.14.json' mode='r' encoding='cp1252'>,infeasible,304.06876850128174,304.0171784000122,38.38403829949675,308,614,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.15.json' mode='r' encoding='cp1252'>,infeasible,302.9742531776428,302.83866380003747,42.45656670042081,354,706,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.16.json' mode='r' encoding='cp1252'>,infeasible,302.54114723205566,302.49484160001157,51.67954389931401,367,732,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.17.json' mode='r' encoding='cp1252'>,infeasible,302.6217260360718,302.56541879998986,59.19896810100181,346,690,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.18.json' mode='r' encoding='cp1252'>,infeasible,301.62180733680725,301.55731760000344,55.213458599639125,415,828,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.19.json' mode='r' encoding='cp1252'>,infeasible,301.9758195877075,301.90784699999494,59.273865000519436,344,686,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.20.json' mode='r' encoding='cp1252'>,infeasible,302.40624141693115,302.31849709997186,53.496781900234055,464,926,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.21.json' mode='r' encoding='cp1252'>,infeasible,304.2929780483246,304.2254369999864,59.770866100501735,550,1098,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.22.json' mode='r' encoding='cp1252'>,infeasible,302.6391565799713,302.5589373999974,46.780353899812326,310,618,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.23.json' mode='r' encoding='cp1252'>,infeasible,304.35397005081177,304.2902076000464,47.82485870050732,333,664,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.24.json' mode='r' encoding='cp1252'>,infeasible,301.9985542297363,301.8585742000141,50.08786689926637,336,670,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.25.json' mode='r' encoding='cp1252'>,infeasible,303.15769696235657,303.08428230002755,26.019285299349576,252,502,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.26.json' mode='r' encoding='cp1252'>,infeasible,302.9616675376892,302.8323378000059,51.04520060075447,383,764,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.27.json' mode='r' encoding='cp1252'>,infeasible,302.4727153778076,302.3947984999977,58.58972929994343,421,840,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.28.json' mode='r' encoding='cp1252'>,infeasible,302.69988799095154,302.6092256999691,61.1130765992566,337,672,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.29.json' mode='r' encoding='cp1252'>,infeasible,303.7968089580536,303.73352240002714,49.34682909992989,427,852,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.30.json' mode='r' encoding='cp1252'>,infeasible,303.13225173950195,303.07250559999375,56.84587950067362,331,660,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.31.json' mode='r' encoding='cp1252'>,infeasible,302.9185914993286,302.86765440000454,66.55938790010987,432,862,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.32.json' mode='r' encoding='cp1252'>,infeasible,302.5003182888031,302.44228370004566,60.70175309974002,531,1060,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.33.json' mode='r' encoding='cp1252'>,infeasible,303.57984471321106,303.5325138999615,51.09030890004942,323,644,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.34.json' mode='r' encoding='cp1252'>,infeasible,302.6409363746643,302.57746789994417,57.7666384006734,465,928,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.35.json' mode='r' encoding='cp1252'>,infeasible,303.4635636806488,303.4071674000006,48.76006319926819,718,1434,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.36.json' mode='r' encoding='cp1252'>,infeasible,304.04558801651,303.9941089999629,67.90741860039998,436,870,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.37.json' mode='r' encoding='cp1252'>,infeasible,302.2303626537323,302.1761207000236,54.980711200332735,421,840,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.38.json' mode='r' encoding='cp1252'>,infeasible,302.0403890609741,301.99364630004857,44.94942429900402,415,828,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.39.json' mode='r' encoding='cp1252'>,infeasible,303.599321603775,303.54794339998625,47.803154700028244,316,630,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.40.json' mode='r' encoding='cp1252'>,infeasible,303.3524706363678,303.3061434000265,59.60384780110326,613,1224,0,0,0,0
