instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='../generated_instances/instance-k12.0.json' mode='r' encoding='cp1252'>,infeasible,310.55160665512085,310.4373164999997,1.8008213998982683,33,64,0,0,28,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.1.json' mode='r' encoding='cp1252'>,infeasible,310.14122438430786,310.0888308999711,1.983281200111378,35,68,0,0,31,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.2.json' mode='r' encoding='cp1252'>,infeasible,310.47221875190735,310.3784250000026,3.099685500084888,44,86,0,0,22,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.3.json' mode='r' encoding='cp1252'>,infeasible,312.18872022628784,312.13628660002723,1.4089201002498157,48,87,0,0,42,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.4.json' mode='r' encoding='cp1252'>,infeasible,314.1694734096527,314.114179999975,1.370162000064738,36,70,0,0,22,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.5.json' mode='r' encoding='cp1252'>,infeasible,316.3934943675995,316.29219400003785,1.069602700183168,21,40,0,0,20,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.6.json' mode='r' encoding='cp1252'>,infeasible,316.0475347042084,315.9577443000162,1.9970758000854403,40,78,0,0,23,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.7.json' mode='r' encoding='cp1252'>,infeasible,315.8113360404968,315.74236770003336,2.5480977998813614,45,88,0,0,38,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.8.json' mode='r' encoding='cp1252'>,infeasible,314.9981164932251,314.9008771999506,1.250095799798146,40,78,0,0,34,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.9.json' mode='r' encoding='cp1252'>,infeasible,313.3491094112396,313.28416179999476,2.391412700235378,51,100,0,0,41,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.10.json' mode='r' encoding='cp1252'>,infeasible,316.94658184051514,316.8823841000558,2.066479399916716,38,74,0,0,31,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.11.json' mode='r' encoding='cp1252'>,infeasible,313.3034737110138,313.1677744999761,2.2840912001556717,40,78,0,0,36,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.12.json' mode='r' encoding='cp1252'>,infeasible,319.1209673881531,319.0132824999746,1.737499600101728,27,52,0,0,24,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.13.json' mode='r' encoding='cp1252'>,infeasible,312.3016324043274,312.23692280001706,1.7746865997905843,27,52,0,0,26,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.14.json' mode='r' encoding='cp1252'>,infeasible,314.8152902126312,314.7300164999906,2.759891999827232,37,72,0,0,21,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.15.json' mode='r' encoding='cp1252'>,infeasible,314.33063864707947,314.26565330004087,1.1375164999626577,42,82,0,0,37,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.16.json' mode='r' encoding='cp1252'>,infeasible,307.45754861831665,307.37556909996783,1.503871499968227,48,94,0,0,25,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.17.json' mode='r' encoding='cp1252'>,infeasible,313.46422052383423,313.36306770000374,1.145215299911797,30,58,0,0,27,0
