instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='generated_instances/instance-k12.0.json' mode='r' encoding='cp1252'>,infeasible,303.17412066459656,302.9102449999773,43.67082710011164,379,474,141,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.1.json' mode='r' encoding='cp1252'>,infeasible,302.8455810546875,302.7777437000186,42.65729700215161,356,698,6,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.2.json' mode='r' encoding='cp1252'>,infeasible,303.9997088909149,303.9183254999807,36.41730850102613,332,634,14,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.3.json' mode='r' encoding='cp1252'>,infeasible,303.45985674858093,303.3660044000135,38.71175320004113,534,592,237,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.4.json' mode='r' encoding='cp1252'>,infeasible,304.71282839775085,304.63943470001686,35.08230370009551,301,562,19,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.5.json' mode='r' encoding='cp1252'>,infeasible,305.0619304180145,305.00700720003806,32.222701699938625,259,314,101,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.6.json' mode='r' encoding='cp1252'>,infeasible,303.6437792778015,303.53464099997655,41.30250940046972,341,662,9,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.7.json' mode='r' encoding='cp1252'>,infeasible,301.83838510513306,301.79769609996583,60.54983660043217,432,852,5,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.8.json' mode='r' encoding='cp1252'>,infeasible,301.84229850769043,301.80188610003097,33.53330259950599,502,558,222,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.9.json' mode='r' encoding='cp1252'>,infeasible,302.6785252094269,302.65969509998104,48.78465349972248,487,846,63,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.10.json' mode='r' encoding='cp1252'>,infeasible,303.3005156517029,303.27452169999015,19.4170112995198,320,340,149,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.11.json' mode='r' encoding='cp1252'>,infeasible,303.318247795105,303.13561080000363,57.997184899810236,357,682,15,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.12.json' mode='r' encoding='cp1252'>,infeasible,304.6275522708893,304.5781723000109,32.722830899234395,226,436,7,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.13.json' mode='r' encoding='cp1252'>,infeasible,302.8297908306122,302.7757225999958,58.00472010014346,323,446,99,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.14.json' mode='r' encoding='cp1252'>,infeasible,302.9734139442444,302.90902829996776,32.60427989932941,244,406,40,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.15.json' mode='r' encoding='cp1252'>,infeasible,303.73046803474426,303.68054419994587,42.60798329982208,310,378,120,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k12.16.json' mode='r' encoding='cp1252'>,infeasible,302.0699679851532,301.9827492000186,39.41958410147345,390,428,175,0,0,0
