instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='../generated_instances/instance-k12.0.json' mode='r' encoding='cp1252'>,infeasible,313.8276631832123,313.4183881999925,1.3209288000361994,30,54,2,0,27,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.1.json' mode='r' encoding='cp1252'>,infeasible,313.01797699928284,312.92870160000166,1.594526400032919,38,66,4,0,33,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.2.json' mode='r' encoding='cp1252'>,infeasible,311.62998485565186,311.5759623000049,1.3911191002116539,36,62,4,0,31,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.3.json' mode='r' encoding='cp1252'>,infeasible,326.71300983428955,326.6670015999698,1.9257155997911468,41,65,5,0,35,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.4.json' mode='r' encoding='cp1252'>,infeasible,316.9520535469055,316.89177520002704,1.302894200081937,26,46,2,0,23,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.5.json' mode='r' encoding='cp1252'>,infeasible,324.21387100219727,324.16814889997477,1.2563504001009278,19,36,0,0,18,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.6.json' mode='r' encoding='cp1252'>,infeasible,314.40417885780334,314.29319659998873,1.634893800073769,28,50,2,0,25,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.7.json' mode='r' encoding='cp1252'>,infeasible,316.81171226501465,316.7421850999817,2.793895599548705,35,64,2,0,32,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.8.json' mode='r' encoding='cp1252'>,infeasible,324.2388563156128,324.1458080000011,4.25870430044597,30,52,3,0,26,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.9.json' mode='r' encoding='cp1252'>,infeasible,312.2555100917816,312.165297199972,1.2819018000736833,35,64,2,0,32,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.10.json' mode='r' encoding='cp1252'>,infeasible,314.5737273693085,314.4556426000199,1.9917085001943633,35,62,3,0,31,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.11.json' mode='r' encoding='cp1252'>,infeasible,313.59968185424805,313.52385729999514,1.7670843995874748,40,72,3,0,36,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.12.json' mode='r' encoding='cp1252'>,infeasible,324.5118136405945,324.4518513000221,2.3639606002834626,28,50,2,0,25,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.13.json' mode='r' encoding='cp1252'>,infeasible,328.82242918014526,328.75110699998913,1.23640990012791,24,46,0,0,23,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.14.json' mode='r' encoding='cp1252'>,infeasible,313.00488924980164,312.8651165999472,1.316605000058189,28,50,2,0,25,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.15.json' mode='r' encoding='cp1252'>,infeasible,313.0372335910797,312.97416809998685,2.1808385000913404,40,72,3,0,36,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.16.json' mode='r' encoding='cp1252'>,infeasible,313.24486899375916,313.17869719996816,1.4988303003483452,44,78,4,0,39,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.17.json' mode='r' encoding='cp1252'>,infeasible,318.6460061073303,318.5759436999797,1.557920300110709,29,54,1,0,27,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.18.json' mode='r' encoding='cp1252'>,infeasible,324.6233959197998,324.5468758000061,2.4095266996882856,33,60,2,0,30,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.19.json' mode='r' encoding='cp1252'>,infeasible,318.5812475681305,318.46718279999914,1.4639702996355481,28,50,2,0,25,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.20.json' mode='r' encoding='cp1252'>,infeasible,321.5451180934906,321.42310620000353,1.0786117999232374,37,66,3,0,33,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.21.json' mode='r' encoding='cp1252'>,infeasible,317.4739844799042,317.3589297999861,2.3054461000137962,46,78,6,0,39,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.22.json' mode='r' encoding='cp1252'>,infeasible,313.7676968574524,313.64144370000577,2.391587000049185,28,52,1,0,26,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.23.json' mode='r' encoding='cp1252'>,infeasible,318.6532859802246,318.5517741999938,1.1142293997691013,26,48,1,0,24,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.24.json' mode='r' encoding='cp1252'>,infeasible,316.9279217720032,316.85532400000375,1.2057480998337269,26,48,1,0,24,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.25.json' mode='r' encoding='cp1252'>,infeasible,314.23219537734985,314.15273579995846,2.018973200174514,26,46,2,0,23,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.26.json' mode='r' encoding='cp1252'>,infeasible,317.56154441833496,317.4917178999749,1.1574356005294248,40,74,2,0,36,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.27.json' mode='r' encoding='cp1252'>,infeasible,315.8214809894562,315.74686070001917,3.107403699948918,39,68,4,0,34,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.28.json' mode='r' encoding='cp1252'>,infeasible,317.68696761131287,317.62165119999554,2.2053134998423047,28,52,1,0,26,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.29.json' mode='r' encoding='cp1252'>,infeasible,312.3825237751007,312.3188977999962,2.1695499003399163,36,62,4,0,31,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.30.json' mode='r' encoding='cp1252'>,infeasible,319.30382442474365,319.2418995000189,1.350706200057175,37,66,3,0,33,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.31.json' mode='r' encoding='cp1252'>,infeasible,314.55193758010864,314.5102910999558,1.1945417000097223,37,64,4,0,32,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.32.json' mode='r' encoding='cp1252'>,infeasible,310.3984172344208,310.3218026999966,1.5673632002435625,41,70,5,0,35,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.33.json' mode='r' encoding='cp1252'>,infeasible,322.6450581550598,322.57187070004875,2.4568437000270933,36,64,3,0,32,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.34.json' mode='r' encoding='cp1252'>,infeasible,316.8708040714264,316.792372099997,1.112066599947866,38,66,4,0,33,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.35.json' mode='r' encoding='cp1252'>,infeasible,307.7827339172363,307.7104272999568,1.548371999815572,60,86,16,0,42,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.36.json' mode='r' encoding='cp1252'>,infeasible,311.42487359046936,311.3412530000205,1.180684999912046,31,56,2,0,28,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.37.json' mode='r' encoding='cp1252'>,infeasible,312.9054148197174,312.84442510001827,1.0495604995521717,36,64,3,0,32,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.38.json' mode='r' encoding='cp1252'>,infeasible,313.9639484882355,313.8816711999825,1.18103660014458,44,78,4,0,39,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.39.json' mode='r' encoding='cp1252'>,infeasible,318.71657729148865,318.66596920002485,3.3099068002193235,32,60,1,0,30,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.40.json' mode='r' encoding='cp1252'>,infeasible,308.9807140827179,308.9064713999978,1.1606872000265867,55,96,6,0,48,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.41.json' mode='r' encoding='cp1252'>,infeasible,313.9528946876526,313.88560889998917,1.2029295002575964,46,78,6,0,39,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.42.json' mode='r' encoding='cp1252'>,infeasible,326.13076543807983,326.0595117000048,2.946794399933424,30,54,2,0,27,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.43.json' mode='r' encoding='cp1252'>,infeasible,313.7607135772705,313.6955537000322,1.0583140002563596,34,62,2,0,31,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.44.json' mode='r' encoding='cp1252'>,infeasible,310.7149431705475,310.668498700019,1.0995007000747137,33,60,2,0,30,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.45.json' mode='r' encoding='cp1252'>,infeasible,318.70049691200256,318.6569648000295,0.9424037002027035,30,58,0,0,29,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.46.json' mode='r' encoding='cp1252'>,infeasible,314.57422637939453,314.50357500003884,1.6954644996440038,34,60,3,0,30,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.47.json' mode='r' encoding='cp1252'>,infeasible,310.771155834198,310.69973759999266,3.2404978994163685,36,64,3,0,32,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.48.json' mode='r' encoding='cp1252'>,infeasible,311.65321135520935,311.5942428999697,3.1845244002179243,49,84,6,0,41,0
<_io.TextIOWrapper name='../generated_instances/instance-k12.49.json' mode='r' encoding='cp1252'>,infeasible,311.3358359336853,311.2759758000029,1.3267103001126088,32,58,2,0,29,0
