instance,bypass,cardial_conflicts,heuristic,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='generated_instances/instance-k2.0.json' mode='r' encoding='cp1252'>,True,False,False,12,0.09551024436950684,0.07816570001887158,0.06003599998075515,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.1.json' mode='r' encoding='cp1252'>,True,False,False,12,0.08954644203186035,0.06935559998964891,0.0535915000946261,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.2.json' mode='r' encoding='cp1252'>,True,False,False,12,0.06043672561645508,0.04325950000202283,0.03607360000023618,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.3.json' mode='r' encoding='cp1252'>,True,False,False,12,0.15674853324890137,0.08425249997526407,0.0663846000097692,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.4.json' mode='r' encoding='cp1252'>,True,False,False,12,0.09430170059204102,0.07754420000128448,0.06020850001368672,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.5.json' mode='r' encoding='cp1252'>,True,False,False,12,0.13682150840759277,0.11660090001532808,0.08857089991215616,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.6.json' mode='r' encoding='cp1252'>,True,False,False,12,0.13727474212646484,0.11794289998942986,0.10320440004579723,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.7.json' mode='r' encoding='cp1252'>,True,False,False,12,0.15719914436340332,0.1262320999521762,0.09964420000324026,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.8.json' mode='r' encoding='cp1252'>,True,False,False,12,0.043788909912109375,0.024321699980646372,0.018886500038206577,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.9.json' mode='r' encoding='cp1252'>,True,False,False,12,0.11402130126953125,0.09402869996847585,0.07612959999823943,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.10.json' mode='r' encoding='cp1252'>,True,False,False,12,0.09586858749389648,0.07613170001422986,0.05571879993658513,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.11.json' mode='r' encoding='cp1252'>,True,False,False,12,0.1063089370727539,0.08707430004142225,0.06531199999153614,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.12.json' mode='r' encoding='cp1252'>,True,False,False,12,0.1037747859954834,0.08583539997925982,0.06573289999505505,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.13.json' mode='r' encoding='cp1252'>,True,False,False,12,0.08562135696411133,0.06587169994600117,0.05225869995774701,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.14.json' mode='r' encoding='cp1252'>,True,False,False,12,0.13405966758728027,0.11604889994487166,0.08858239999972284,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.15.json' mode='r' encoding='cp1252'>,True,False,False,12,0.10229301452636719,0.08482300001196563,0.06266409991076216,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.16.json' mode='r' encoding='cp1252'>,True,False,False,12,0.07513308525085449,0.05691609997302294,0.04707490000873804,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.17.json' mode='r' encoding='cp1252'>,True,False,False,12,0.13728761672973633,0.11802019999595359,0.10425440006656572,2,2,0,0,0,0
