instance,bypass,cardial_conflicts,heuristic,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='generated_instances/instance-k2.0.json' mode='r' encoding='cp1252'>,True,False,True,12,0.413226842880249,0.16019259998574853,0.10924909997265786,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.1.json' mode='r' encoding='cp1252'>,True,False,True,12,0.7096037864685059,0.14471019996562973,0.12753339990740642,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.2.json' mode='r' encoding='cp1252'>,True,False,True,12,0.7944390773773193,0.08656029996927828,0.07778989995131269,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.3.json' mode='r' encoding='cp1252'>,True,False,True,12,0.4423668384552002,0.1606008000089787,0.10616110009141266,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.4.json' mode='r' encoding='cp1252'>,True,False,True,12,0.5357577800750732,0.15890069998567924,0.13858069997513667,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.5.json' mode='r' encoding='cp1252'>,True,False,True,12,0.42079710960388184,0.21388140000635758,0.18884299992350861,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.6.json' mode='r' encoding='cp1252'>,True,False,True,12,0.40195608139038086,0.029715700016822666,0.02175259991781786,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.7.json' mode='r' encoding='cp1252'>,True,False,True,12,0.4339475631713867,0.20522620005067438,0.14521989988861606,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.8.json' mode='r' encoding='cp1252'>,True,False,True,12,0.5155794620513916,0.037116300023626536,0.03133030002936721,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.9.json' mode='r' encoding='cp1252'>,True,False,True,12,0.6093933582305908,0.16004470002371818,0.14303720009047538,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.10.json' mode='r' encoding='cp1252'>,True,False,True,12,0.5092456340789795,0.13182230002712458,0.08850149996578693,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.11.json' mode='r' encoding='cp1252'>,True,False,True,12,0.2980320453643799,0.16127420001430437,0.10634450003271922,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.12.json' mode='r' encoding='cp1252'>,True,False,True,12,0.294391393661499,0.1552805000101216,0.13416109996614978,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.13.json' mode='r' encoding='cp1252'>,True,False,True,12,0.2793922424316406,0.13336269999854267,0.08804150007199496,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.14.json' mode='r' encoding='cp1252'>,True,False,True,12,0.4442117214202881,0.2201084000407718,0.19370279996655881,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.15.json' mode='r' encoding='cp1252'>,True,False,True,12,0.47774648666381836,0.16265600000042468,0.14072299998952076,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.16.json' mode='r' encoding='cp1252'>,True,False,True,12,0.32224345207214355,0.09577479999279603,0.08605069998884574,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.17.json' mode='r' encoding='cp1252'>,True,False,True,12,0.40488147735595703,0.1479236000450328,0.09822529996745288,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.18.json' mode='r' encoding='cp1252'>,True,False,True,12,0.4050135612487793,0.23427360004279763,0.16722659999504685,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.19.json' mode='r' encoding='cp1252'>,True,False,True,12,0.7349197864532471,0.2319804999860935,0.2030767000396736,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.20.json' mode='r' encoding='cp1252'>,True,False,True,12,0.6782889366149902,0.22020529996370897,0.15127270005177706,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.21.json' mode='r' encoding='cp1252'>,True,False,True,12,0.30107569694519043,0.1640112999593839,0.1424193000420928,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.22.json' mode='r' encoding='cp1252'>,True,False,True,12,0.6564509868621826,0.17307329998584464,0.15291849995264784,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.23.json' mode='r' encoding='cp1252'>,True,False,True,12,0.5242629051208496,0.16260589996818453,0.14514390006661415,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.24.json' mode='r' encoding='cp1252'>,True,False,True,12,0.5976314544677734,0.20697579998522997,0.18815529998391867,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.25.json' mode='r' encoding='cp1252'>,True,False,True,12,0.47537803649902344,0.17578360001789406,0.11272419994929805,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.26.json' mode='r' encoding='cp1252'>,True,False,True,12,0.7170834541320801,0.05164429999422282,0.039876399911008775,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.27.json' mode='r' encoding='cp1252'>,True,False,True,12,0.47336602210998535,0.2191280000261031,0.19435269996756688,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.28.json' mode='r' encoding='cp1252'>,True,False,True,12,0.23531246185302734,0.09865020000142977,0.08634750003693625,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.29.json' mode='r' encoding='cp1252'>,True,False,True,12,0.34377074241638184,0.07466739998199046,0.031510400120168924,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.30.json' mode='r' encoding='cp1252'>,True,False,True,12,0.2965831756591797,0.15913839999120682,0.1409685000544414,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.31.json' mode='r' encoding='cp1252'>,True,False,True,12,0.37665343284606934,0.08600330003537238,0.07511759997578338,2,2,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k2.32.json' mode='r' encoding='cp1252'>,True,False,True,12,0.29189157485961914,0.11071380000794306,0.09546930011129007,2,2,0,0,0,0
