instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='generated_instances/instance-k4.0.json' mode='r' encoding='cp1252'>,infeasible,300.998455286026,300.89912479999475,202.70104689506115,2589,5176,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k4.1.json' mode='r' encoding='cp1252'>,infeasible,301.0588026046753,301.01618859998416,203.85894819750683,2291,4580,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k4.2.json' mode='r' encoding='cp1252'>,infeasible,301.772314786911,301.7241750000394,174.7931119989371,2069,4136,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k4.3.json' mode='r' encoding='cp1252'>,infeasible,302.12933111190796,302.06225330004236,161.14289970143,2125,4248,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k4.4.json' mode='r' encoding='cp1252'>,infeasible,301.1718821525574,301.1242244000314,175.62091780209448,1761,3520,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k4.5.json' mode='r' encoding='cp1252'>,infeasible,301.4455668926239,301.3897289999877,135.61581429751823,2672,5342,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k4.6.json' mode='r' encoding='cp1252'>,infeasible,301.10496282577515,301.05085739999777,198.25078010710422,2608,5214,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k4.7.json' mode='r' encoding='cp1252'>,infeasible,301.63027834892273,301.5829854000476,197.5892921992927,2601,5200,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k4.8.json' mode='r' encoding='cp1252'>,infeasible,301.26222586631775,301.20188010000857,155.55403960339027,2934,5866,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k4.9.json' mode='r' encoding='cp1252'>,infeasible,301.44600319862366,301.3760218999814,212.2207920969813,2268,4534,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k4.10.json' mode='r' encoding='cp1252'>,infeasible,301.85951352119446,301.8144548999844,160.65795310074463,3402,6802,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k4.11.json' mode='r' encoding='cp1252'>,infeasible,301.34902453422546,301.2897220000159,212.84658240078716,1826,3650,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k4.12.json' mode='r' encoding='cp1252'>,infeasible,301.9453296661377,301.90945079998346,192.38783210143447,1782,3562,0,0,0,0
