instance,bypass,cardial_conflicts,heuristic,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='../generated_instances/instance-k4.0.json' mode='r' encoding='cp1252'>,False,True,False,28,33.72037410736084,33.64187709998805,0.9852385999984108,22,42,0,0,12,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.1.json' mode='r' encoding='cp1252'>,False,True,False,28,46.69713544845581,46.61771099996986,1.1104670996428467,23,44,0,0,11,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.2.json' mode='r' encoding='cp1252'>,False,True,False,28,62.34137725830078,62.28585909999674,2.321915400098078,26,50,0,0,12,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.3.json' mode='r' encoding='cp1252'>,False,True,False,28,75.61900067329407,75.5448933999869,2.808681400027126,28,54,0,0,13,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.4.json' mode='r' encoding='cp1252'>,False,True,False,28,68.61217331886292,68.55304539995268,2.2760913001256995,25,48,0,0,12,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.5.json' mode='r' encoding='cp1252'>,False,True,False,28,45.550055742263794,45.48207860003458,1.0743102999404073,26,50,0,0,12,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.6.json' mode='r' encoding='cp1252'>,False,True,False,28,47.31744027137756,47.24936810001964,1.19460060010897,26,50,0,0,13,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.7.json' mode='r' encoding='cp1252'>,False,True,False,28,43.0937762260437,42.9126852999907,1.2253022998920642,26,50,0,0,12,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.8.json' mode='r' encoding='cp1252'>,False,True,False,28,59.45640230178833,59.39968279999448,2.9780169002478942,34,66,0,0,13,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.9.json' mode='r' encoding='cp1252'>,False,True,False,28,51.60426640510559,51.52897290000692,1.504052699834574,35,68,0,0,13,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.10.json' mode='r' encoding='cp1252'>,False,True,False,28,40.328864097595215,40.269262599991634,0.9071400000248104,21,40,0,0,12,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.11.json' mode='r' encoding='cp1252'>,False,True,False,28,47.41043782234192,47.3371931000147,1.1113019999465905,25,48,0,0,13,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.12.json' mode='r' encoding='cp1252'>,False,True,False,28,66.69566297531128,66.61576159996912,2.2466909996583126,35,68,0,0,15,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.13.json' mode='r' encoding='cp1252'>,False,True,False,28,61.88486289978027,61.81173560000025,1.6143405002076179,25,48,0,0,13,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.14.json' mode='r' encoding='cp1252'>,False,True,False,28,66.00856900215149,65.91587839997374,1.7197167000267655,25,48,0,0,12,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.15.json' mode='r' encoding='cp1252'>,False,True,False,28,80.57869505882263,80.46742309996625,2.6316072999616154,35,68,0,0,13,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.16.json' mode='r' encoding='cp1252'>,False,True,False,28,73.00531387329102,72.92796350002754,2.1221168999327347,28,54,0,0,14,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.17.json' mode='r' encoding='cp1252'>,False,True,False,28,47.21247625350952,47.15607870003441,1.022059299692046,28,54,0,0,13,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.18.json' mode='r' encoding='cp1252'>,False,True,False,28,38.37724184989929,38.299629399960395,1.4135233998531476,22,42,0,0,12,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.19.json' mode='r' encoding='cp1252'>,False,True,False,28,48.828266620635986,48.754704700026195,1.0662768998299725,25,48,0,0,13,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.20.json' mode='r' encoding='cp1252'>,False,True,False,28,57.5239953994751,57.37936690001516,1.8605569998617284,21,40,0,0,12,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.21.json' mode='r' encoding='cp1252'>,False,True,False,28,39.99637007713318,39.900727699976414,1.5673356003826484,35,68,0,0,13,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.22.json' mode='r' encoding='cp1252'>,False,True,False,28,35.908960580825806,35.83891809999477,1.5686440999852493,34,66,0,0,14,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.23.json' mode='r' encoding='cp1252'>,False,True,False,28,54.97961163520813,54.910361899994314,1.7247908998979256,25,48,0,0,13,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.24.json' mode='r' encoding='cp1252'>,False,True,False,28,39.82995390892029,39.767893599986564,1.3023368997965008,25,48,0,0,12,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.25.json' mode='r' encoding='cp1252'>,False,True,False,28,112.18208622932434,112.10514409997268,4.706448499986436,34,66,0,0,13,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.26.json' mode='r' encoding='cp1252'>,False,True,False,28,68.41189193725586,68.30695520003792,1.5685067999293096,33,64,0,0,14,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.27.json' mode='r' encoding='cp1252'>,False,True,False,28,67.80966758728027,67.74211310001556,2.1042986999382265,36,70,0,0,14,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.28.json' mode='r' encoding='cp1252'>,False,True,False,28,46.044567823410034,45.98607089999132,2.025272500293795,34,66,0,0,14,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.29.json' mode='r' encoding='cp1252'>,False,True,False,28,43.90145421028137,43.83840910001891,1.288407800369896,28,54,0,0,15,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.30.json' mode='r' encoding='cp1252'>,False,True,False,28,69.22692322731018,69.16158670000732,2.4705279997433536,34,66,0,0,14,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.31.json' mode='r' encoding='cp1252'>,False,True,False,28,52.40656542778015,52.32026940002106,1.6211190998437814,23,44,0,0,11,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.32.json' mode='r' encoding='cp1252'>,False,True,False,28,85.82687020301819,85.75547470001038,2.8724904002738185,35,68,0,0,15,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.33.json' mode='r' encoding='cp1252'>,,,,infeasible,307.83964347839355,307.7563458000077,11.142876599333249,125,248,0,0,13,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.34.json' mode='r' encoding='cp1252'>,False,True,False,28,57.582932233810425,57.54326909995871,1.9455379004357383,26,50,0,0,12,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.35.json' mode='r' encoding='cp1252'>,False,True,False,28,45.18567728996277,45.11891860002652,1.2107707000686787,24,46,0,0,13,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.36.json' mode='r' encoding='cp1252'>,False,True,False,28,66.18460512161255,66.1128929000115,1.2075958998175338,23,44,0,0,13,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.37.json' mode='r' encoding='cp1252'>,False,True,False,28,75.78500556945801,75.6627738000243,3.2960502001806162,35,68,0,0,15,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.38.json' mode='r' encoding='cp1252'>,False,True,False,28,30.908984899520874,30.826493100030348,0.5890239002765156,21,40,0,0,12,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.39.json' mode='r' encoding='cp1252'>,False,True,False,28,74.61119270324707,74.51717740000458,2.6322143995785154,35,68,0,0,13,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.40.json' mode='r' encoding='cp1252'>,False,True,False,28,67.0763943195343,67.00283750001108,1.8782465998083353,28,54,0,0,15,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.41.json' mode='r' encoding='cp1252'>,False,True,False,28,43.06749987602234,42.90769280004315,1.075072199862916,25,48,0,0,12,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.42.json' mode='r' encoding='cp1252'>,False,True,False,28,66.47051334381104,66.39417320000939,2.021581400069408,28,54,0,0,15,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.43.json' mode='r' encoding='cp1252'>,False,True,False,28,63.295629024505615,63.22226439998485,2.580331400036812,34,66,0,0,13,0
