instance,bypass,cardial_conflicts,heuristic,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='../generated_instances/instance-k4.0.json' mode='r' encoding='cp1252'>,False,True,True,28,305.3002014160156,305.1969832999748,28.9305634003249,317,628,0,2,11,11
<_io.TextIOWrapper name='../generated_instances/instance-k4.1.json' mode='r' encoding='cp1252'>,,,,infeasible,305.8054344654083,305.7407926999731,17.805478101188783,255,508,0,0,8,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.2.json' mode='r' encoding='cp1252'>,False,True,True,28,303.97816276550293,303.9204171000165,16.833311299909838,264,490,0,18,30,120
<_io.TextIOWrapper name='../generated_instances/instance-k4.3.json' mode='r' encoding='cp1252'>,False,True,True,28,306.22151041030884,306.15361450001365,29.223286699852906,219,426,0,5,18,86
<_io.TextIOWrapper name='../generated_instances/instance-k4.4.json' mode='r' encoding='cp1252'>,False,True,True,30,306.784211397171,306.71941679995507,16.75299619958969,180,358,0,0,8,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.5.json' mode='r' encoding='cp1252'>,False,True,True,28,302.9096088409424,302.8404620999936,13.191528899944387,272,516,0,13,25,99
<_io.TextIOWrapper name='../generated_instances/instance-k4.6.json' mode='r' encoding='cp1252'>,False,True,True,30,304.363224029541,304.29218749998836,26.49219389888458,328,654,0,0,4,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.7.json' mode='r' encoding='cp1252'>,False,True,True,28,303.0764422416687,303.00293690001126,24.429532200389076,342,664,0,9,21,143
<_io.TextIOWrapper name='../generated_instances/instance-k4.8.json' mode='r' encoding='cp1252'>,False,True,True,28,303.4431674480438,303.3800387000083,31.786522200040054,282,552,0,5,18,123
<_io.TextIOWrapper name='../generated_instances/instance-k4.9.json' mode='r' encoding='cp1252'>,False,True,True,28,303.20932388305664,303.06362069997704,29.217842600133736,361,710,0,5,18,156
<_io.TextIOWrapper name='../generated_instances/instance-k4.10.json' mode='r' encoding='cp1252'>,False,True,True,30,304.29443359375,304.21082380000735,11.667994000250474,342,682,0,0,8,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.11.json' mode='r' encoding='cp1252'>,False,True,True,28,303.4589874744415,303.3554020000156,21.181817300792318,289,566,0,5,18,114
<_io.TextIOWrapper name='../generated_instances/instance-k4.12.json' mode='r' encoding='cp1252'>,False,True,True,28,304.4301664829254,304.34954790002666,27.512207899417263,260,508,0,5,20,123
<_io.TextIOWrapper name='../generated_instances/instance-k4.13.json' mode='r' encoding='cp1252'>,False,True,True,30,306.49194836616516,306.4159183999873,26.604075700161047,198,394,0,0,4,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.14.json' mode='r' encoding='cp1252'>,False,True,True,28,305.1489691734314,305.0707774999901,19.687588300497737,249,486,0,5,17,144
<_io.TextIOWrapper name='../generated_instances/instance-k4.15.json' mode='r' encoding='cp1252'>,False,True,True,30,306.547415971756,306.46075129997917,24.596056099631824,229,456,0,0,4,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.16.json' mode='r' encoding='cp1252'>,False,True,True,28,303.5018467903137,303.40297230001306,25.180383600178175,312,612,0,5,19,151
<_io.TextIOWrapper name='../generated_instances/instance-k4.17.json' mode='r' encoding='cp1252'>,False,True,True,28,304.1370298862457,304.0581987000187,20.791161300323438,340,668,0,5,18,157
<_io.TextIOWrapper name='../generated_instances/instance-k4.18.json' mode='r' encoding='cp1252'>,False,True,True,28,306.0299983024597,305.96378390002064,19.64541499997722,273,540,0,2,11,10
<_io.TextIOWrapper name='../generated_instances/instance-k4.19.json' mode='r' encoding='cp1252'>,False,True,True,30,304.3051154613495,304.2246116999886,27.454532499657944,281,560,0,0,4,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.20.json' mode='r' encoding='cp1252'>,False,True,True,30,307.4347891807556,307.34676689998014,22.09629889926873,250,498,0,0,7,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.21.json' mode='r' encoding='cp1252'>,False,True,True,28,303.3724856376648,303.29085769999074,22.36681710020639,449,886,0,5,18,193
<_io.TextIOWrapper name='../generated_instances/instance-k4.22.json' mode='r' encoding='cp1252'>,False,True,True,28,302.25060391426086,302.17594950000057,21.87133700045524,459,906,0,5,19,390
<_io.TextIOWrapper name='../generated_instances/instance-k4.23.json' mode='r' encoding='cp1252'>,False,True,True,30,306.1758825778961,306.11305210000137,25.747473699448165,232,462,0,0,4,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.24.json' mode='r' encoding='cp1252'>,False,True,True,30,304.09083008766174,303.9981246999814,22.41736370010767,240,478,0,0,8,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.25.json' mode='r' encoding='cp1252'>,False,True,True,28,307.6237995624542,307.5561381999869,19.529381299740635,159,306,0,5,18,59
<_io.TextIOWrapper name='../generated_instances/instance-k4.26.json' mode='r' encoding='cp1252'>,False,True,True,28,304.74096035957336,304.64661410002736,20.505461800610647,233,456,0,4,18,119
<_io.TextIOWrapper name='../generated_instances/instance-k4.27.json' mode='r' encoding='cp1252'>,False,True,True,30,305.87569069862366,305.78752909996547,24.368373699078802,269,536,0,0,4,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.28.json' mode='r' encoding='cp1252'>,False,True,True,28,174.95290660858154,174.8868395999889,12.762044800329022,179,346,0,5,19,151
<_io.TextIOWrapper name='../generated_instances/instance-k4.29.json' mode='r' encoding='cp1252'>,False,True,True,28,304.46998167037964,304.39123649999965,32.53668699803529,348,686,0,4,19,209
<_io.TextIOWrapper name='../generated_instances/instance-k4.30.json' mode='r' encoding='cp1252'>,False,True,True,28,303.4924747943878,303.4241680999985,21.461126899928786,271,530,0,5,19,175
<_io.TextIOWrapper name='../generated_instances/instance-k4.31.json' mode='r' encoding='cp1252'>,,,,infeasible,306.6499021053314,306.5022401000024,24.229498899832834,245,488,0,0,7,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.32.json' mode='r' encoding='cp1252'>,False,True,True,28,305.8616826534271,305.7938663000241,20.715517299540807,227,442,0,5,20,108
<_io.TextIOWrapper name='../generated_instances/instance-k4.33.json' mode='r' encoding='cp1252'>,,,,infeasible,307.0976963043213,307.0032603999716,17.793761300155893,165,328,0,0,8,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.34.json' mode='r' encoding='cp1252'>,False,True,True,28,307.6492671966553,307.5912160000298,19.598100800882094,228,450,0,2,11,7
<_io.TextIOWrapper name='../generated_instances/instance-k4.35.json' mode='r' encoding='cp1252'>,False,True,True,30,303.64685821533203,303.5577801000327,17.178457799716853,262,522,0,0,8,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.36.json' mode='r' encoding='cp1252'>,False,True,True,30,308.76051330566406,308.63652409997303,18.03397320001386,225,448,0,0,4,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.37.json' mode='r' encoding='cp1252'>,False,True,True,28,305.346529006958,305.1441582000116,28.246245199581608,216,420,0,5,20,100
<_io.TextIOWrapper name='../generated_instances/instance-k4.38.json' mode='r' encoding='cp1252'>,False,True,True,30,306.6568093299866,306.5749121000408,9.92779139947379,421,840,0,0,7,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.39.json' mode='r' encoding='cp1252'>,False,True,True,28,303.7871136665344,303.7216047999682,30.464700800483115,238,464,0,5,18,93
<_io.TextIOWrapper name='../generated_instances/instance-k4.40.json' mode='r' encoding='cp1252'>,False,True,True,28,305.6124460697174,304.6351122999913,23.793894099770114,230,450,0,4,19,111
<_io.TextIOWrapper name='../generated_instances/instance-k4.41.json' mode='r' encoding='cp1252'>,False,True,True,30,304.73218965530396,304.6589010999887,31.584185299347155,370,738,0,0,7,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.42.json' mode='r' encoding='cp1252'>,False,True,True,28,305.069819688797,304.9635891999933,23.715077400498558,247,484,0,4,19,130
<_io.TextIOWrapper name='../generated_instances/instance-k4.43.json' mode='r' encoding='cp1252'>,False,True,True,28,303.9353070259094,303.8098541999934,21.403962799406145,290,568,0,5,18,132
<_io.TextIOWrapper name='../generated_instances/instance-k4.44.json' mode='r' encoding='cp1252'>,,,,infeasible,307.4328684806824,307.31806510000024,18.559747899475042,177,352,0,0,8,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.45.json' mode='r' encoding='cp1252'>,False,True,True,28,303.6237847805023,303.5538428000291,19.06992179970257,280,550,0,4,18,145
<_io.TextIOWrapper name='../generated_instances/instance-k4.46.json' mode='r' encoding='cp1252'>,False,True,True,28,305.2067651748657,305.1285096000065,18.500500300258864,193,360,0,12,24,93
<_io.TextIOWrapper name='../generated_instances/instance-k4.47.json' mode='r' encoding='cp1252'>,False,True,True,28,303.85519456863403,303.77137610001955,16.120482699770946,252,492,0,5,17,111
<_io.TextIOWrapper name='../generated_instances/instance-k4.48.json' mode='r' encoding='cp1252'>,,,,infeasible,306.59401416778564,306.5054156999686,15.594412600039504,204,406,0,0,8,0
<_io.TextIOWrapper name='../generated_instances/instance-k4.49.json' mode='r' encoding='cp1252'>,False,True,True,30,303.7240617275238,303.6704023000202,28.495509201311506,345,688,0,0,4,0
