instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost,bypass,cardial_conflicts,heuristic
<_io.TextIOWrapper name='../generated_instances/instance-k5.0.json' mode='r' encoding='cp1252'>,infeasible,304.8766243457794,304.77195900003426,15.896239799447358,178,320,17,0,13,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k5.1.json' mode='r' encoding='cp1252'>,infeasible,305.85493421554565,305.7551843999536,13.57750590017531,223,410,17,0,11,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k5.2.json' mode='r' encoding='cp1252'>,41,306.6163098812103,306.55033220001496,12.94997010024963,167,282,25,0,13,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.3.json' mode='r' encoding='cp1252'>,41,308.27311849594116,308.1399163000169,11.672201900859363,189,358,9,0,14,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.4.json' mode='r' encoding='cp1252'>,39,307.9965944290161,307.9072789999773,6.8548742001876235,105,138,35,0,11,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.5.json' mode='r' encoding='cp1252'>,41,311.51119923591614,311.43670690001454,10.213954200269654,157,286,13,0,11,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.6.json' mode='r' encoding='cp1252'>,41,306.8214852809906,306.70449530001497,15.561997799843084,203,364,20,0,11,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.7.json' mode='r' encoding='cp1252'>,37,306.7317705154419,306.6180115999887,9.88169150025351,174,194,62,14,44,35,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.8.json' mode='r' encoding='cp1252'>,41,306.3589060306549,306.2678963000071,7.101255198998842,202,352,25,0,13,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.9.json' mode='r' encoding='cp1252'>,infeasible,306.4215271472931,306.29928520001704,10.206172899983358,145,270,9,0,13,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k5.10.json' mode='r' encoding='cp1252'>,infeasible,310.0034239292145,309.91794170002686,11.720074999378994,162,292,15,0,13,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k5.11.json' mode='r' encoding='cp1252'>,infeasible,306.7116959095001,306.6287318000104,11.628260699624661,160,298,10,0,13,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k5.12.json' mode='r' encoding='cp1252'>,infeasible,307.8827483654022,307.8081704999786,8.047861700004432,132,248,7,0,14,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k5.13.json' mode='r' encoding='cp1252'>,infeasible,305.4006371498108,305.2200918000308,7.4436415988602675,257,468,22,0,12,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k5.14.json' mode='r' encoding='cp1252'>,39,305.9156708717346,305.8481191000319,5.55090740066953,207,262,75,0,11,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.15.json' mode='r' encoding='cp1252'>,infeasible,305.2772054672241,305.19104409997817,13.674513599835336,186,346,12,0,13,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k5.16.json' mode='r' encoding='cp1252'>,infeasible,306.7592260837555,306.6938444999978,9.241405800334178,148,254,20,0,13,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k5.17.json' mode='r' encoding='cp1252'>,41,305.99060320854187,305.688624900009,11.39304130047094,169,328,4,0,10,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.18.json' mode='r' encoding='cp1252'>,infeasible,307.05704736709595,306.93299230001867,7.951654999225866,123,212,16,0,12,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k5.19.json' mode='r' encoding='cp1252'>,41,310.460812330246,310.27527529996587,11.410379899665713,132,246,8,0,13,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.20.json' mode='r' encoding='cp1252'>,41,305.7929081916809,305.6489251999883,11.461789999331813,226,390,30,0,11,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.21.json' mode='r' encoding='cp1252'>,infeasible,304.76943492889404,304.61757130001206,13.421044200193137,185,342,13,0,11,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k5.22.json' mode='r' encoding='cp1252'>,39,307.7406482696533,307.63344390003476,13.062043699494097,108,142,36,0,11,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.23.json' mode='r' encoding='cp1252'>,41,305.96359753608704,305.8320673999842,10.511488099873532,159,302,7,0,10,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.24.json' mode='r' encoding='cp1252'>,37,304.59105253219604,304.35248519998277,7.250447399448603,131,162,39,10,50,30,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.25.json' mode='r' encoding='cp1252'>,39,308.09285616874695,307.9509483000147,10.556606500060298,95,122,33,0,12,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.26.json' mode='r' encoding='cp1252'>,37,309.0662546157837,308.95663519995287,7.7775624002097175,130,158,40,10,48,33,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.27.json' mode='r' encoding='cp1252'>,infeasible,304.77410531044006,304.6680384000065,12.357677699241322,329,576,40,0,12,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k5.28.json' mode='r' encoding='cp1252'>,37,303.64328956604004,303.5695444000303,9.890706900099758,215,242,76,17,63,46,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.29.json' mode='r' encoding='cp1252'>,41,306.6582374572754,306.58950940001523,8.92959470039932,191,322,29,0,13,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.30.json' mode='r' encoding='cp1252'>,41,304.85372710227966,304.7671152999974,6.719523000123445,188,350,12,0,11,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.31.json' mode='r' encoding='cp1252'>,39,305.20962858200073,305.1368415999459,9.303346799802966,103,170,17,0,11,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.32.json' mode='r' encoding='cp1252'>,39,305.09287214279175,304.97147030005,10.539784799388144,133,154,55,0,11,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.33.json' mode='r' encoding='cp1252'>,39,309.6508927345276,309.55148510000436,10.881764800287783,109,198,9,0,11,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.34.json' mode='r' encoding='cp1252'>,39,303.9109055995941,303.82237929996336,10.259152200131211,197,264,64,0,11,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.35.json' mode='r' encoding='cp1252'>,39,305.9857769012451,305.9041749999742,11.201861300272867,168,324,5,0,8,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.36.json' mode='r' encoding='cp1252'>,39,307.28609323501587,307.1780180000351,7.467909099941608,96,146,22,0,11,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.37.json' mode='r' encoding='cp1252'>,39,304.02880334854126,303.9134347999934,6.522127999924123,188,288,43,0,11,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.38.json' mode='r' encoding='cp1252'>,41,305.98373675346375,305.88352799997665,14.331733099592384,183,346,9,0,12,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.39.json' mode='r' encoding='cp1252'>,39,306.7659785747528,306.66837919998216,13.314639100397471,163,218,52,1,13,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.40.json' mode='r' encoding='cp1252'>,41,308.6382722854614,308.53590000001714,20.534976299793925,170,330,4,0,13,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.41.json' mode='r' encoding='cp1252'>,37,304.4222319126129,304.3232328000013,11.603711199830286,171,210,53,12,56,57,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.42.json' mode='r' encoding='cp1252'>,41,308.83776783943176,308.75217709998833,10.15679019963136,148,278,8,0,13,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.43.json' mode='r' encoding='cp1252'>,41,304.2552764415741,304.16920269996626,14.676384699821938,229,422,17,0,13,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.44.json' mode='r' encoding='cp1252'>,37,304.39409279823303,304.3252634999808,14.525570799887646,196,248,61,10,59,57,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.45.json' mode='r' encoding='cp1252'>,39,307.64176654815674,307.56814609997673,11.714547499723267,99,156,20,0,11,0,True,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k5.46.json' mode='r' encoding='cp1252'>,37,306.8707187175751,306.7675655000494,7.605806799954735,161,212,47,7,48,55,True,True,True
