instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='../generated_instances/instance-k6.0.json' mode='r' encoding='cp1252'>,infeasible,305.16940426826477,305.12366820004536,3.4211645995965227,130,258,0,0,70,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.1.json' mode='r' encoding='cp1252'>,infeasible,307.6004102230072,307.546539700008,5.369798999803606,86,170,0,0,58,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.2.json' mode='r' encoding='cp1252'>,infeasible,304.4258418083191,304.36202030000277,4.0414497995516285,109,216,0,0,61,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.3.json' mode='r' encoding='cp1252'>,infeasible,303.48847341537476,303.45318640000187,6.6819906999589875,177,352,0,0,83,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.4.json' mode='r' encoding='cp1252'>,infeasible,307.36738204956055,307.3171450999798,3.8173273000866175,101,200,0,0,59,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.5.json' mode='r' encoding='cp1252'>,infeasible,304.9137101173401,304.8660681999754,7.129556301049888,176,350,0,0,71,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.6.json' mode='r' encoding='cp1252'>,infeasible,305.48341369628906,305.44598479999695,4.990662499505561,83,164,0,0,59,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.7.json' mode='r' encoding='cp1252'>,infeasible,306.6316111087799,306.58724889997393,7.7832564993877895,100,198,0,0,60,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.8.json' mode='r' encoding='cp1252'>,infeasible,307.9254457950592,307.8710039999569,8.537121001048945,111,220,0,0,62,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.9.json' mode='r' encoding='cp1252'>,infeasible,304.5161919593811,304.45781350001926,8.876718099869322,150,298,0,0,63,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.10.json' mode='r' encoding='cp1252'>,infeasible,307.66266441345215,307.6119943000376,4.853191600181162,94,186,0,0,57,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.11.json' mode='r' encoding='cp1252'>,infeasible,313.38938903808594,313.3496094000293,3.7493138993158937,55,108,0,0,51,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.12.json' mode='r' encoding='cp1252'>,infeasible,306.91109561920166,306.8652840000577,4.346537999110296,88,174,0,0,57,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.13.json' mode='r' encoding='cp1252'>,infeasible,305.130087852478,305.0927913999185,6.13651600049343,95,188,0,0,56,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.14.json' mode='r' encoding='cp1252'>,infeasible,306.4283695220947,306.36417909990996,4.385394798358902,121,240,0,0,62,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.15.json' mode='r' encoding='cp1252'>,infeasible,306.7355492115021,306.6855365000665,4.50183639943134,89,176,0,0,56,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.16.json' mode='r' encoding='cp1252'>,infeasible,308.44562911987305,308.39542419998907,5.157931600231677,96,190,0,0,67,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.17.json' mode='r' encoding='cp1252'>,infeasible,303.5570397377014,303.5136934000766,5.875001902342774,169,336,0,0,81,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.18.json' mode='r' encoding='cp1252'>,infeasible,307.49089884757996,307.4434286999749,5.926944200997241,85,168,0,0,54,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.19.json' mode='r' encoding='cp1252'>,infeasible,304.0185704231262,303.9682730999775,8.428876901627518,125,248,0,0,65,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.20.json' mode='r' encoding='cp1252'>,infeasible,305.6430253982544,305.59808739996515,3.965264599537477,84,166,0,0,57,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.21.json' mode='r' encoding='cp1252'>,infeasible,306.37146735191345,306.33407040010206,3.4819252997403964,68,134,0,0,52,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.22.json' mode='r' encoding='cp1252'>,infeasible,309.1230537891388,309.05849239998497,4.11370679968968,65,128,0,0,49,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.23.json' mode='r' encoding='cp1252'>,infeasible,308.0287334918976,307.9721273999894,4.327303000842221,72,142,0,0,55,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.24.json' mode='r' encoding='cp1252'>,infeasible,304.87473464012146,304.82027199992444,8.176066600484774,137,272,0,0,67,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.25.json' mode='r' encoding='cp1252'>,infeasible,305.8310577869415,305.8029347000411,6.186084999353625,80,158,0,0,56,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.26.json' mode='r' encoding='cp1252'>,infeasible,305.4479148387909,305.40989659994375,5.327468099538237,154,306,0,0,74,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.27.json' mode='r' encoding='cp1252'>,infeasible,307.92003750801086,307.88249980006367,6.160271400585771,93,184,0,0,61,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.28.json' mode='r' encoding='cp1252'>,infeasible,306.5705053806305,306.51616510003805,6.884975001681596,107,212,0,0,68,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.29.json' mode='r' encoding='cp1252'>,infeasible,304.79149174690247,304.7571817000862,8.069869699771516,90,178,0,0,64,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.30.json' mode='r' encoding='cp1252'>,infeasible,306.06031942367554,306.0117693999782,7.461104700691067,180,358,0,0,77,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.31.json' mode='r' encoding='cp1252'>,infeasible,304.9915370941162,304.94831230002455,5.954824199783616,130,258,0,0,67,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.32.json' mode='r' encoding='cp1252'>,infeasible,308.85871171951294,308.80694599996787,4.857102000154555,112,222,0,0,68,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.33.json' mode='r' encoding='cp1252'>,infeasible,308.3211715221405,308.2767415000126,6.559874799801037,105,208,0,0,61,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.34.json' mode='r' encoding='cp1252'>,infeasible,306.1677393913269,306.1133141000755,4.354264499852434,158,314,0,0,71,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.35.json' mode='r' encoding='cp1252'>,infeasible,305.6976726055145,305.6496648999164,5.420232899137773,140,278,0,0,78,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.36.json' mode='r' encoding='cp1252'>,infeasible,306.91706562042236,306.8696460999781,5.397865201695822,125,248,0,0,73,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.37.json' mode='r' encoding='cp1252'>,infeasible,304.8217463493347,304.8040107000852,5.99320060107857,111,220,0,0,59,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.38.json' mode='r' encoding='cp1252'>,infeasible,305.5507502555847,305.53228039992973,5.593869999167509,117,232,0,0,64,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.39.json' mode='r' encoding='cp1252'>,infeasible,306.14033555984497,306.12396710005123,4.060462400084361,106,210,0,0,60,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.40.json' mode='r' encoding='cp1252'>,infeasible,306.2989168167114,306.28150859999005,3.3608219992602244,110,218,0,0,71,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.41.json' mode='r' encoding='cp1252'>,infeasible,304.3515832424164,304.3352956000017,4.299674001755193,153,304,0,0,83,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.42.json' mode='r' encoding='cp1252'>,infeasible,303.5883185863495,303.57256150001194,6.476169699337333,125,248,0,0,63,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.43.json' mode='r' encoding='cp1252'>,infeasible,304.2099733352661,304.1938415999757,7.900995799805969,143,284,0,0,66,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.44.json' mode='r' encoding='cp1252'>,infeasible,304.7534475326538,304.7358901000116,5.264939200715162,130,258,0,0,68,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.45.json' mode='r' encoding='cp1252'>,infeasible,303.5907826423645,303.5755592000205,7.053925300133415,109,216,0,0,66,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.46.json' mode='r' encoding='cp1252'>,infeasible,304.990695476532,304.974894199986,5.8118027991149575,120,238,0,0,64,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.47.json' mode='r' encoding='cp1252'>,infeasible,305.435467004776,305.4198665000731,4.5752028992865235,152,302,0,0,75,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.48.json' mode='r' encoding='cp1252'>,infeasible,305.2888548374176,305.2704230999807,7.260500100557692,109,216,0,0,62,0
<_io.TextIOWrapper name='../generated_instances/instance-k6.49.json' mode='r' encoding='cp1252'>,infeasible,303.9883801937103,303.970826499979,6.506434400798753,176,350,0,0,68,0
