instance,bypass,cardial_conflicts,heuristic,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='generated_instances/instance-k7.0.json' mode='r' encoding='cp1252'>,False,False,True,59,301.883766412735,301.80854600004386,112.24817329912912,1744,3486,0,0,0,7
<_io.TextIOWrapper name='generated_instances/instance-k7.1.json' mode='r' encoding='cp1252'>,False,False,True,59,301.5019152164459,301.4454147000215,145.36100690165767,1440,2878,0,0,0,15
<_io.TextIOWrapper name='generated_instances/instance-k7.2.json' mode='r' encoding='cp1252'>,False,False,True,59,302.2868456840515,302.23091490002116,169.9783015017165,2057,4112,0,0,0,12
<_io.TextIOWrapper name='generated_instances/instance-k7.3.json' mode='r' encoding='cp1252'>,False,False,True,59,302.74172949790955,301.7868800999713,93.24753410398262,1764,3526,0,0,0,10
<_io.TextIOWrapper name='generated_instances/instance-k7.4.json' mode='r' encoding='cp1252'>,False,False,True,61,301.5958137512207,301.5437846999848,109.5745747993351,2108,4214,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k7.5.json' mode='r' encoding='cp1252'>,,,,infeasible,301.8160300254822,301.7559597999789,131.40161680051824,1131,2260,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k7.6.json' mode='r' encoding='cp1252'>,False,False,True,61,301.89822268486023,301.8095982999657,109.92518570000539,2149,4296,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k7.7.json' mode='r' encoding='cp1252'>,,,,infeasible,301.82796478271484,301.7761339999852,161.55964040005347,1110,2218,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k7.8.json' mode='r' encoding='cp1252'>,False,False,True,63,301.5434510707855,301.4725772999809,74.704195600003,2465,4928,0,0,0,18
<_io.TextIOWrapper name='generated_instances/instance-k7.9.json' mode='r' encoding='cp1252'>,False,False,True,65,301.6754014492035,301.6148298000335,117.28660669829696,2460,4918,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k7.10.json' mode='r' encoding='cp1252'>,False,False,True,63,301.9734380245209,301.9105688999989,114.88583320006728,2000,3998,0,0,0,15
<_io.TextIOWrapper name='generated_instances/instance-k7.11.json' mode='r' encoding='cp1252'>,False,False,True,63,301.8545205593109,301.81761780002853,84.1718017005478,2459,4916,0,0,0,30
<_io.TextIOWrapper name='generated_instances/instance-k7.12.json' mode='r' encoding='cp1252'>,False,False,True,63,302.04465222358704,301.98371639999095,88.54964900016785,2359,4716,0,0,0,10
<_io.TextIOWrapper name='generated_instances/instance-k7.13.json' mode='r' encoding='cp1252'>,,,,infeasible,301.3238916397095,301.27423290000297,185.3309803000884,1328,2654,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k7.14.json' mode='r' encoding='cp1252'>,,,,infeasible,301.83255767822266,301.76272300002165,138.22423910116777,1147,2292,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k7.15.json' mode='r' encoding='cp1252'>,False,False,True,63,301.9351849555969,301.8693873999873,88.41412770119496,2147,4292,0,0,0,10
<_io.TextIOWrapper name='generated_instances/instance-k7.16.json' mode='r' encoding='cp1252'>,False,False,True,61,301.5690219402313,301.51019550004276,176.5745325005846,1727,3452,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k7.17.json' mode='r' encoding='cp1252'>,False,False,True,63,301.7649734020233,301.7006715000025,114.97701279644389,1797,3592,0,0,0,11
<_io.TextIOWrapper name='generated_instances/instance-k7.18.json' mode='r' encoding='cp1252'>,,,,infeasible,302.1747450828552,302.1252573999809,142.2269209017395,909,1816,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k7.19.json' mode='r' encoding='cp1252'>,False,False,True,61,301.0910975933075,301.0404311999446,145.15246210020268,1336,2670,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k7.20.json' mode='r' encoding='cp1252'>,False,False,True,59,300.90019178390503,300.83940840000287,190.45430300035514,1473,2944,0,0,0,12
<_io.TextIOWrapper name='generated_instances/instance-k7.21.json' mode='r' encoding='cp1252'>,False,False,True,59,301.3023679256439,301.25100240000756,115.58351919671986,1786,3570,0,0,0,12
<_io.TextIOWrapper name='generated_instances/instance-k7.22.json' mode='r' encoding='cp1252'>,False,False,True,65,301.76027274131775,301.72761260002153,170.70200269884663,2140,4278,0,0,0,0
<_io.TextIOWrapper name='generated_instances/instance-k7.23.json' mode='r' encoding='cp1252'>,False,False,True,59,302.1008474826813,302.05962389998604,161.49515000125393,1295,2588,0,0,0,6
