instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost,bypass,cardial_conflicts,heuristic
<_io.TextIOWrapper name='../generated_instances/instance-k7.0.json' mode='r' encoding='cp1252'>,infeasible,309.90044260025024,309.840336299967,12.042911100550555,89,176,0,0,14,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.1.json' mode='r' encoding='cp1252'>,59,307.2149043083191,307.1012274000095,9.116915699793026,87,172,0,0,11,18,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.2.json' mode='r' encoding='cp1252'>,61,306.6539707183838,306.50920459994813,6.2383492005756125,123,244,0,0,32,0,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.3.json' mode='r' encoding='cp1252'>,59,306.2766513824463,306.1613284999621,8.486454999772832,78,154,0,0,21,11,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.4.json' mode='r' encoding='cp1252'>,59,309.94717144966125,309.7718467999948,5.215522099926602,89,176,0,0,24,3,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.5.json' mode='r' encoding='cp1252'>,infeasible,309.61227917671204,309.4319524000166,6.232012600172311,70,138,0,0,21,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.6.json' mode='r' encoding='cp1252'>,65,308.1148648262024,308.05522660003044,7.964500000001863,91,180,0,0,13,0,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.7.json' mode='r' encoding='cp1252'>,infeasible,310.1665678024292,310.05232309998246,7.1023690000292845,79,156,0,0,23,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.8.json' mode='r' encoding='cp1252'>,infeasible,311.35265612602234,311.1896888000192,4.772816600394435,92,182,0,0,33,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.9.json' mode='r' encoding='cp1252'>,infeasible,308.2217597961426,308.03505989996484,3.504622599517461,121,240,0,0,11,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.10.json' mode='r' encoding='cp1252'>,infeasible,306.27813363075256,306.2124884999939,6.543070999905467,80,158,0,0,26,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.11.json' mode='r' encoding='cp1252'>,infeasible,307.13078260421753,307.07675730000483,10.28557910019299,89,176,0,0,30,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.12.json' mode='r' encoding='cp1252'>,59,307.99036026000977,307.9094827999943,6.591472699888982,81,160,0,0,18,3,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.13.json' mode='r' encoding='cp1252'>,infeasible,309.82260036468506,309.6928590000025,10.476232700166292,80,158,0,0,23,0,,,
<_io.TextIOWrapper name='../generated_instances/instance-k7.14.json' mode='r' encoding='cp1252'>,61,310.736759185791,310.67436720000114,9.237556399777532,87,172,0,0,22,0,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.15.json' mode='r' encoding='cp1252'>,59,308.39954805374146,308.2727346000029,9.683372699655592,90,178,0,0,18,5,False,True,True
<_io.TextIOWrapper name='../generated_instances/instance-k7.16.json' mode='r' encoding='cp1252'>,61,308.61752820014954,308.4848781999899,5.208413399639539,95,188,0,0,32,0,False,True,True
