instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost,bypass,cardial_conflicts,heuristic
<_io.TextIOWrapper name='generated_instances/instance-k7.0.json' mode='r' encoding='cp1252'>,infeasible,302.14259099960327,301.9003021999961,90.01257789856754,1427,1748,552,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.1.json' mode='r' encoding='cp1252'>,59,302.1399359703064,302.04377759998897,119.32650400116108,1936,2570,650,0,0,296,True,False,True
<_io.TextIOWrapper name='generated_instances/instance-k7.2.json' mode='r' encoding='cp1252'>,infeasible,302.0513801574707,301.963719899999,113.22870290512219,2383,3726,519,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.3.json' mode='r' encoding='cp1252'>,infeasible,302.1977677345276,302.10417370003415,104.88158790097805,1351,2158,271,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.4.json' mode='r' encoding='cp1252'>,infeasible,302.9600603580475,302.84467199997744,72.87008329975652,1748,2394,550,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.5.json' mode='r' encoding='cp1252'>,infeasible,301.75274205207825,301.67431749997195,126.14644599892199,1306,1620,495,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.6.json' mode='r' encoding='cp1252'>,infeasible,302.39564085006714,302.28625500004273,124.61562980007147,1162,2056,133,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.7.json' mode='r' encoding='cp1252'>,infeasible,302.34160327911377,302.30263410002226,150.35536840040004,1183,2348,8,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.8.json' mode='r' encoding='cp1252'>,infeasible,301.3098466396332,301.27168170001823,113.96801670012064,1608,3186,14,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.9.json' mode='r' encoding='cp1252'>,infeasible,301.37202644348145,301.3543697000132,84.5051641977625,2735,3142,1163,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.10.json' mode='r' encoding='cp1252'>,infeasible,303.91637563705444,303.8995557000162,87.37604450061917,1135,2254,7,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.11.json' mode='r' encoding='cp1252'>,infeasible,302.4950966835022,302.40364679996856,107.15116860263515,1273,1376,584,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.12.json' mode='r' encoding='cp1252'>,infeasible,303.02181100845337,302.9644222999923,88.4342409998062,1206,1402,504,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.13.json' mode='r' encoding='cp1252'>,infeasible,303.62810754776,303.5785547999549,120.60857799794758,1268,1544,495,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.14.json' mode='r' encoding='cp1252'>,infeasible,304.1554288864136,304.10638319997815,139.23555240023416,1176,2338,6,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.15.json' mode='r' encoding='cp1252'>,infeasible,301.4917230606079,301.4556520000333,100.64968660095474,1535,1656,706,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.16.json' mode='r' encoding='cp1252'>,infeasible,301.5063223838806,301.38559960003477,128.6804400010733,1398,2004,395,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.17.json' mode='r' encoding='cp1252'>,infeasible,303.5213634967804,301.1503761000349,76.03254279925022,1151,1226,537,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.18.json' mode='r' encoding='cp1252'>,infeasible,301.6898241043091,301.62046019994887,135.64373779884772,919,1440,198,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.19.json' mode='r' encoding='cp1252'>,infeasible,302.5501823425293,302.4260856999899,78.76673820079304,1037,1426,323,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.20.json' mode='r' encoding='cp1252'>,infeasible,301.6519808769226,301.5695150999818,127.64008249778999,1658,1842,736,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.21.json' mode='r' encoding='cp1252'>,infeasible,301.452743768692,301.3836652999744,120.86607000115328,1600,1750,724,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.22.json' mode='r' encoding='cp1252'>,infeasible,301.17865014076233,301.0777058000094,130.71090770431329,2416,2800,1015,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.23.json' mode='r' encoding='cp1252'>,infeasible,301.8613817691803,301.78164110000944,134.1475280005252,1179,1440,458,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.24.json' mode='r' encoding='cp1252'>,infeasible,302.98976612091064,302.9092717000167,114.88544940092834,1987,2176,898,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.25.json' mode='r' encoding='cp1252'>,infeasible,301.5325708389282,301.41319509997265,58.20684310089564,1206,1444,483,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.26.json' mode='r' encoding='cp1252'>,infeasible,301.3827087879181,301.32456889998866,118.47484590008389,1746,2146,672,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.27.json' mode='r' encoding='cp1252'>,infeasible,301.5872666835785,301.50630609999644,135.4360171968001,1645,2006,641,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.28.json' mode='r' encoding='cp1252'>,infeasible,301.3062241077423,301.21948800003156,122.6086865986581,2627,3426,913,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.29.json' mode='r' encoding='cp1252'>,infeasible,300.99656653404236,300.9233966000029,155.2345656005782,2133,2614,825,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.30.json' mode='r' encoding='cp1252'>,infeasible,302.2956883907318,302.223729899968,90.43909320008243,1569,1924,606,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.31.json' mode='r' encoding='cp1252'>,infeasible,301.27304196357727,301.1548340000445,133.7251706995885,1562,1902,610,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.32.json' mode='r' encoding='cp1252'>,infeasible,301.43866205215454,301.33476870000595,108.4815429012524,1436,1822,524,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.33.json' mode='r' encoding='cp1252'>,infeasible,302.1398742198944,302.0471496999962,105.33268660138128,2152,2370,966,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.34.json' mode='r' encoding='cp1252'>,infeasible,301.8100850582123,301.71249930001795,96.90247289906256,1759,2142,687,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.35.json' mode='r' encoding='cp1252'>,infeasible,301.9984712600708,301.91223529999843,97.0893750982359,1793,2126,729,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.36.json' mode='r' encoding='cp1252'>,infeasible,301.55507731437683,301.47231739998097,118.56056490255287,1678,2062,646,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.37.json' mode='r' encoding='cp1252'>,infeasible,301.2696478366852,301.2106508000288,85.45134179992601,1640,2022,628,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.38.json' mode='r' encoding='cp1252'>,infeasible,301.4601228237152,301.374195899989,153.96311990119284,1059,1864,126,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.39.json' mode='r' encoding='cp1252'>,infeasible,302.2183539867401,302.15228639997076,108.75259999762056,2416,3198,816,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.40.json' mode='r' encoding='cp1252'>,infeasible,302.1360490322113,302.05285300000105,103.31672680063639,1798,1980,807,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.41.json' mode='r' encoding='cp1252'>,infeasible,301.29996728897095,301.2534006999922,109.737252799212,1743,2004,740,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.42.json' mode='r' encoding='cp1252'>,infeasible,301.2194390296936,301.15387089998694,125.44419739884324,1751,2148,676,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.43.json' mode='r' encoding='cp1252'>,infeasible,301.82121682167053,301.7707156999968,120.54217169748154,1608,1964,625,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k7.44.json' mode='r' encoding='cp1252'>,infeasible,301.6507716178894,301.59125390002737,128.23267500079237,1045,1296,396,0,0,0,,,
