instance,bypass,cardial_conflicts,heuristic,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='../generated_instances/instance-k7.0.json' mode='r' encoding='cp1252'>,True,True,True,59,314.469233751297,314.2531874999986,8.366971700452268,79,112,22,0,20,18
<_io.TextIOWrapper name='../generated_instances/instance-k7.1.json' mode='r' encoding='cp1252'>,True,True,True,59,308.37520813941956,308.2546188000124,3.5422862005070783,66,94,18,0,22,3
<_io.TextIOWrapper name='../generated_instances/instance-k7.2.json' mode='r' encoding='cp1252'>,,,,infeasible,310.86900544166565,310.7469895000104,4.632078699709382,101,146,27,0,30,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.3.json' mode='r' encoding='cp1252'>,True,True,True,59,312.23164653778076,312.1776202999754,4.654649800155312,70,102,18,0,22,7
<_io.TextIOWrapper name='../generated_instances/instance-k7.4.json' mode='r' encoding='cp1252'>,,,,infeasible,313.6976833343506,313.5677250000299,2.99640229990473,84,120,23,0,23,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.5.json' mode='r' encoding='cp1252'>,,,,infeasible,308.8589458465576,308.8173376999912,4.478244399593677,66,104,13,0,29,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.6.json' mode='r' encoding='cp1252'>,True,True,True,61,311.4849269390106,311.40458109998144,4.597264299867675,83,116,24,0,19,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.7.json' mode='r' encoding='cp1252'>,,,,infeasible,312.6541953086853,312.5195512000355,4.954674800217617,72,110,16,0,29,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.8.json' mode='r' encoding='cp1252'>,,,,infeasible,310.6796407699585,310.58300100005,5.0964165003970265,88,140,17,0,31,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.9.json' mode='r' encoding='cp1252'>,,,,infeasible,310.8167374134064,310.7113851000322,3.7277541001094505,107,174,19,0,22,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.10.json' mode='r' encoding='cp1252'>,,,,infeasible,309.7005407810211,309.62391630001366,5.760654399928171,85,124,22,0,28,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.11.json' mode='r' encoding='cp1252'>,,,,infeasible,309.4910686016083,309.42455579998204,6.979152700456325,86,126,22,0,26,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.12.json' mode='r' encoding='cp1252'>,True,True,True,59,306.20407485961914,306.1305857000407,8.339960499841254,98,164,15,0,23,16
<_io.TextIOWrapper name='../generated_instances/instance-k7.13.json' mode='r' encoding='cp1252'>,,,,infeasible,308.9383337497711,308.81517610000446,8.416409000055864,84,138,14,0,23,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.14.json' mode='r' encoding='cp1252'>,,,,infeasible,314.0454635620117,313.96324740001,5.491715900076088,95,160,14,0,26,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.15.json' mode='r' encoding='cp1252'>,True,True,True,59,308.39366388320923,307.9819305000128,9.630735199374612,97,146,23,0,20,9
<_io.TextIOWrapper name='../generated_instances/instance-k7.16.json' mode='r' encoding='cp1252'>,True,True,True,61,309.5058219432831,309.40351949998876,5.1354399001575075,93,128,28,0,32,0
<_io.TextIOWrapper name='../generated_instances/instance-k7.17.json' mode='r' encoding='cp1252'>,,,,infeasible,313.5875015258789,313.44015260000015,4.682811100501567,71,108,16,0,20,0
