instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost,bypass,cardial_conflicts,heuristic
<_io.TextIOWrapper name='generated_instances/instance-k8.0.json' mode='r' encoding='cp1252'>,infeasible,302.34939408302307,302.29483329999493,126.85122800030513,983,1964,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.1.json' mode='r' encoding='cp1252'>,infeasible,301.52449321746826,301.4668809999712,106.61081049818313,1456,2910,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.2.json' mode='r' encoding='cp1252'>,infeasible,302.1894836425781,302.12827119999565,133.09554440103238,1509,3016,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.3.json' mode='r' encoding='cp1252'>,infeasible,301.4081377983093,301.3520806999877,111.10727630148176,1372,2742,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.4.json' mode='r' encoding='cp1252'>,infeasible,301.9895737171173,301.9290642000269,150.14029459870653,1167,2332,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.5.json' mode='r' encoding='cp1252'>,infeasible,301.612122297287,301.553304800007,133.73419369832845,2049,4096,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.6.json' mode='r' encoding='cp1252'>,infeasible,301.2556929588318,301.1972846999997,121.76282369892579,1015,2028,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.7.json' mode='r' encoding='cp1252'>,infeasible,301.3746862411499,301.3040934000164,132.38992979965406,1206,2410,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.8.json' mode='r' encoding='cp1252'>,infeasible,301.28016901016235,301.1931568,132.32611390337115,1003,2004,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.9.json' mode='r' encoding='cp1252'>,infeasible,301.76760840415955,301.7063502999954,108.30030539823929,1695,3388,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.10.json' mode='r' encoding='cp1252'>,infeasible,301.3038008213043,301.23094730003504,134.22272089956095,963,1924,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.11.json' mode='r' encoding='cp1252'>,infeasible,302.21436500549316,302.1822020999971,55.09962739871116,2299,4596,0,0,0,0,,,
<_io.TextIOWrapper name='generated_instances/instance-k8.12.json' mode='r' encoding='cp1252'>,infeasible,301.8902921676636,301.82691709999926,156.64128109894227,1105,2208,0,0,0,0,,,
