instance,score,total time,time in CBS,time in a_star,treesize,nodes_created,nodes_bypassed,nodes_pruned,cardinal_splits,pruned_by_cost
<_io.TextIOWrapper name='../generated_instances/instance-k9.0.json' mode='r' encoding='cp1252'>,infeasible,309.5425579547882,309.40007919998607,2.1402930000331253,41,80,0,0,40,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.1.json' mode='r' encoding='cp1252'>,infeasible,318.27165699005127,318.1338482000283,3.5658035998931155,48,94,0,0,47,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.2.json' mode='r' encoding='cp1252'>,infeasible,316.69802618026733,316.5992589999805,2.4432091003400274,42,82,0,0,41,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.3.json' mode='r' encoding='cp1252'>,infeasible,307.94760513305664,307.8057511000079,1.4895339996437542,42,82,0,0,41,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.4.json' mode='r' encoding='cp1252'>,infeasible,309.90811133384705,309.8411545000272,2.557071899937,36,70,0,0,35,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.5.json' mode='r' encoding='cp1252'>,infeasible,309.55435252189636,309.4268178999773,2.6706881996360607,50,98,0,0,49,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.6.json' mode='r' encoding='cp1252'>,infeasible,307.0709013938904,307.0180483999429,2.140273800585419,44,86,0,0,43,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.7.json' mode='r' encoding='cp1252'>,infeasible,322.0872128009796,322.02470619999804,1.332824400102254,30,58,0,0,29,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.8.json' mode='r' encoding='cp1252'>,infeasible,315.9619793891907,315.89935889997287,2.618892499944195,42,82,0,0,41,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.9.json' mode='r' encoding='cp1252'>,infeasible,311.1344771385193,311.0748667999869,4.4947171999374405,40,78,0,0,39,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.10.json' mode='r' encoding='cp1252'>,infeasible,317.53980350494385,317.4791785000125,2.6478163998108357,32,62,0,0,31,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.11.json' mode='r' encoding='cp1252'>,infeasible,312.62435817718506,312.5681171999895,2.701416800147854,30,58,0,0,29,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.12.json' mode='r' encoding='cp1252'>,infeasible,308.9637339115143,308.8903479000437,1.3224348001531325,41,80,0,0,40,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.13.json' mode='r' encoding='cp1252'>,infeasible,310.1735110282898,310.1135134000215,1.5136630996712483,38,74,0,0,37,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.14.json' mode='r' encoding='cp1252'>,infeasible,313.89060282707214,313.84194760001265,1.2698932001949288,26,50,0,0,25,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.15.json' mode='r' encoding='cp1252'>,infeasible,311.2728180885315,311.2013609999558,1.943330300215166,42,82,0,0,41,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.16.json' mode='r' encoding='cp1252'>,infeasible,310.52195382118225,310.4602288000169,3.046537499933038,41,80,0,0,40,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.17.json' mode='r' encoding='cp1252'>,infeasible,310.0884938240051,310.0109807999688,2.213660499663092,41,80,0,0,40,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.18.json' mode='r' encoding='cp1252'>,infeasible,308.08865332603455,307.98393610003404,2.623183000367135,42,82,0,0,41,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.19.json' mode='r' encoding='cp1252'>,infeasible,314.7626094818115,314.7116356000188,2.5196514999843203,37,72,0,0,36,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.20.json' mode='r' encoding='cp1252'>,infeasible,309.6901054382324,309.63808499998413,2.155874300166033,33,64,0,0,32,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.21.json' mode='r' encoding='cp1252'>,infeasible,312.69017601013184,312.62773440004094,2.04164209990995,41,80,0,0,40,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.22.json' mode='r' encoding='cp1252'>,infeasible,316.54070520401,316.47974340000656,1.574838399887085,44,86,0,0,43,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.23.json' mode='r' encoding='cp1252'>,infeasible,312.2555921077728,312.21991899999557,2.13283099984983,38,74,0,0,37,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.24.json' mode='r' encoding='cp1252'>,infeasible,309.24542713165283,309.18325800000457,1.4478737995377742,46,90,0,0,45,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.25.json' mode='r' encoding='cp1252'>,infeasible,309.6720485687256,309.61571240000194,1.7490871997433715,52,102,0,0,51,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.26.json' mode='r' encoding='cp1252'>,infeasible,315.8458368778229,315.78225659998134,1.6261163001181558,44,86,0,0,43,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.27.json' mode='r' encoding='cp1252'>,infeasible,313.39136266708374,313.3284327999572,3.5926872003474273,33,64,0,0,32,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.28.json' mode='r' encoding='cp1252'>,infeasible,311.5117428302765,311.46049060003133,1.2559144000988454,45,88,0,0,44,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.29.json' mode='r' encoding='cp1252'>,infeasible,309.92948389053345,309.8645786999841,1.4562380998395383,36,70,0,0,35,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.30.json' mode='r' encoding='cp1252'>,infeasible,320.6909863948822,320.5398933000397,2.418763500114437,31,60,0,0,30,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.31.json' mode='r' encoding='cp1252'>,infeasible,317.05520462989807,317.00251229997957,1.5076985998312011,45,88,0,0,44,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.32.json' mode='r' encoding='cp1252'>,infeasible,309.6170811653137,309.5602532000048,1.932712400041055,35,68,0,0,34,0
<_io.TextIOWrapper name='../generated_instances/instance-k9.33.json' mode='r' encoding='cp1252'>,infeasible,308.8963475227356,308.8383722999715,2.310861899808515,45,88,0,0,44,0
